  
       XFOIL         Version 6.96
  
 Calculated polar for: WB-140/35/FB 14%                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -16.250  -0.8644   0.08498   0.08164  -0.0503   0.7157   0.0060
 -16.000  -1.0464   0.04676   0.04298  -0.0806   0.7160   0.0054
 -15.750  -1.0808   0.03880   0.03478  -0.0876   0.7158   0.0053
 -15.500  -1.0921   0.03566   0.03149  -0.0879   0.7157   0.0054
 -15.250  -1.0977   0.03363   0.02932  -0.0862   0.7155   0.0055
 -15.000  -1.0947   0.03199   0.02755  -0.0848   0.7153   0.0056
 -14.750  -1.0860   0.03051   0.02594  -0.0838   0.7151   0.0057
 -14.500  -1.0742   0.02918   0.02449  -0.0830   0.7149   0.0058
 -14.250  -1.0602   0.02796   0.02315  -0.0823   0.7147   0.0059
 -14.000  -1.0444   0.02684   0.02191  -0.0816   0.7145   0.0061
 -13.750  -1.0271   0.02582   0.02077  -0.0810   0.7143   0.0062
 -13.500  -1.0085   0.02487   0.01971  -0.0805   0.7139   0.0063
 -13.250  -0.9888   0.02401   0.01874  -0.0801   0.7133   0.0064
 -13.000  -0.9689   0.02312   0.01773  -0.0797   0.7127   0.0066
 -12.750  -0.9485   0.02224   0.01674  -0.0793   0.7121   0.0069
 -12.500  -0.9266   0.02149   0.01592  -0.0790   0.7115   0.0072
 -12.250  -0.9040   0.02083   0.01519  -0.0787   0.7110   0.0075
 -12.000  -0.8806   0.02022   0.01451  -0.0786   0.7105   0.0079
 -11.750  -0.8568   0.01965   0.01386  -0.0784   0.7101   0.0082
 -11.500  -0.8326   0.01910   0.01323  -0.0783   0.7097   0.0085
 -11.250  -0.8081   0.01858   0.01263  -0.0782   0.7094   0.0089
 -11.000  -0.7832   0.01809   0.01204  -0.0781   0.7091   0.0091
 -10.750  -0.7581   0.01760   0.01151  -0.0781   0.7089   0.0098
 -10.500  -0.7320   0.01724   0.01112  -0.0781   0.7086   0.0105
 -10.250  -0.7058   0.01691   0.01077  -0.0782   0.7078   0.0112
 -10.000  -0.6795   0.01659   0.01040  -0.0783   0.7068   0.0119
  -9.500  -0.6267   0.01590   0.00957  -0.0785   0.7052   0.0130
  -9.250  -0.5994   0.01564   0.00933  -0.0787   0.7048   0.0137
  -9.000  -0.5719   0.01543   0.00912  -0.0789   0.7043   0.0144
  -8.750  -0.5444   0.01521   0.00889  -0.0791   0.7037   0.0151
  -8.500  -0.5169   0.01499   0.00865  -0.0793   0.7030   0.0159
  -8.250  -0.4893   0.01476   0.00839  -0.0795   0.7023   0.0166
  -8.000  -0.4616   0.01455   0.00814  -0.0798   0.7016   0.0170
  -7.750  -0.4341   0.01430   0.00784  -0.0800   0.7007   0.0174
  -7.500  -0.4070   0.01394   0.00745  -0.0801   0.6995   0.0181
  -7.250  -0.3792   0.01373   0.00723  -0.0804   0.6984   0.0187
  -7.000  -0.3513   0.01354   0.00703  -0.0806   0.6973   0.0194
  -6.750  -0.3234   0.01333   0.00680  -0.0809   0.6964   0.0201
  -6.500  -0.2955   0.01311   0.00653  -0.0811   0.6956   0.0207
  -6.250  -0.2675   0.01291   0.00630  -0.0813   0.6948   0.0214
  -6.000  -0.2393   0.01273   0.00608  -0.0816   0.6940   0.0220
  -5.750  -0.2111   0.01254   0.00586  -0.0819   0.6933   0.0224
  -5.500  -0.1829   0.01237   0.00565  -0.0821   0.6925   0.0227
  -5.250  -0.1545   0.01224   0.00549  -0.0824   0.6917   0.0230
  -5.000  -0.1261   0.01208   0.00531  -0.0827   0.6910   0.0232
  -4.750  -0.0977   0.01178   0.00494  -0.0830   0.6905   0.0238
  -4.500  -0.0692   0.01156   0.00468  -0.0832   0.6897   0.0245
  -4.250  -0.0405   0.01138   0.00448  -0.0836   0.6887   0.0252
  -4.000  -0.0118   0.01122   0.00431  -0.0839   0.6874   0.0260
  -3.750   0.0170   0.01108   0.00416  -0.0842   0.6860   0.0267
  -3.500   0.0458   0.01095   0.00402  -0.0845   0.6846   0.0273
  -3.250   0.0746   0.01083   0.00389  -0.0849   0.6830   0.0278
  -3.000   0.1035   0.01072   0.00378  -0.0852   0.6814   0.0284
  -2.750   0.1323   0.01062   0.00366  -0.0856   0.6798   0.0289
  -2.500   0.1611   0.01053   0.00356  -0.0859   0.6781   0.0293
  -2.250   0.1901   0.01042   0.00345  -0.0863   0.6756   0.0297
  -2.000   0.2191   0.01028   0.00333  -0.0867   0.6712   0.0301
  -1.750   0.2481   0.01015   0.00322  -0.0870   0.6658   0.0305
  -1.500   0.2772   0.01003   0.00311  -0.0874   0.6595   0.0316
  -1.250   0.3063   0.00991   0.00301  -0.0878   0.6468   0.0357
  -1.000   0.3349   0.00990   0.00310  -0.0880   0.6242   0.0911
  -0.750   0.3617   0.00977   0.00302  -0.0881   0.6056   0.1302
  -0.500   0.3892   0.00976   0.00296  -0.0883   0.5919   0.1331
  -0.250   0.4170   0.00977   0.00294  -0.0885   0.5792   0.1356
   0.000   0.4444   0.00981   0.00293  -0.0887   0.5595   0.1378
   0.250   0.4703   0.00997   0.00295  -0.0886   0.5221   0.1398
   0.500   0.4960   0.01017   0.00301  -0.0884   0.4892   0.1406
   1.000   0.5488   0.01055   0.00318  -0.0883   0.4372   0.1432
   1.250   0.5759   0.01074   0.00330  -0.0884   0.4210   0.1453
   1.500   0.6030   0.01088   0.00340  -0.0884   0.4089   0.1476
