  
       XFOIL         Version 6.96
  
 Calculated polar for: WB-140/35/FB 14%                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.250  -0.1240   0.08763   0.08497  -0.0858   0.7422   0.0150
 -11.000  -0.4302   0.04725   0.04425  -0.1106   0.7452   0.0106
 -10.750  -0.4530   0.03628   0.03292  -0.1261   0.7443   0.0106
 -10.500  -0.4609   0.03092   0.02714  -0.1284   0.7435   0.0108
 -10.250  -0.4519   0.02792   0.02382  -0.1289   0.7427   0.0110
 -10.000  -0.4468   0.02385   0.01932  -0.1290   0.7419   0.0114
  -9.750  -0.4240   0.02303   0.01841  -0.1292   0.7412   0.0116
  -9.500  -0.3993   0.02253   0.01785  -0.1294   0.7405   0.0118
  -9.250  -0.3743   0.02204   0.01729  -0.1297   0.7398   0.0120
  -9.000  -0.3495   0.02144   0.01659  -0.1298   0.7388   0.0123
  -8.750  -0.3243   0.02087   0.01593  -0.1300   0.7375   0.0128
  -8.500  -0.2995   0.02010   0.01501  -0.1301   0.7359   0.0134
  -8.250  -0.2743   0.01929   0.01403  -0.1301   0.7341   0.0140
  -8.000  -0.2479   0.01876   0.01335  -0.1303   0.7325   0.0144
  -7.750  -0.2252   0.01700   0.01144  -0.1302   0.7317   0.0150
  -7.500  -0.1987   0.01644   0.01085  -0.1305   0.7308   0.0154
  -7.250  -0.1715   0.01604   0.01041  -0.1307   0.7298   0.0159
  -7.000  -0.1441   0.01561   0.00994  -0.1310   0.7289   0.0165
  -6.750  -0.1166   0.01515   0.00942  -0.1312   0.7278   0.0172
  -6.500  -0.0887   0.01476   0.00895  -0.1314   0.7267   0.0180
  -6.250  -0.0597   0.01473   0.00883  -0.1317   0.7257   0.0186
