  
       XFOIL         Version 6.96
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -18.750  -0.9413   0.13292   0.13051  -0.0271   1.0000   0.0195
 -18.500  -1.0038   0.11544   0.11280  -0.0370   1.0000   0.0194
 -18.250  -1.0457   0.10325   0.10042  -0.0440   1.0000   0.0194
 -18.000  -1.0762   0.09376   0.09077  -0.0493   1.0000   0.0194
 -17.750  -1.1003   0.08571   0.08257  -0.0538   1.0000   0.0194
 -17.500  -1.1205   0.07863   0.07536  -0.0576   1.0000   0.0194
 -17.250  -1.1369   0.07245   0.06904  -0.0608   1.0000   0.0194
 -17.000  -1.1501   0.06707   0.06354  -0.0634   1.0000   0.0194
 -16.750  -1.1634   0.06202   0.05836  -0.0655   1.0000   0.0195
 -16.500  -1.1810   0.05676   0.05295  -0.0673   1.0000   0.0195
 -16.250  -1.1947   0.05242   0.04848  -0.0682   1.0000   0.0197
 -16.000  -1.2048   0.04882   0.04476  -0.0685   1.0000   0.0198
 -15.750  -1.2123   0.04578   0.04163  -0.0683   1.0000   0.0199
 -15.500  -1.2179   0.04316   0.03892  -0.0677   1.0000   0.0200
 -15.250  -1.2222   0.04090   0.03659  -0.0667   1.0000   0.0201
 -15.000  -1.2247   0.03893   0.03455  -0.0655   1.0000   0.0202
 -14.750  -1.2265   0.03715   0.03271  -0.0640   1.0000   0.0204
 -14.500  -1.2271   0.03557   0.03107  -0.0623   1.0000   0.0205
 -14.250  -1.2265   0.03416   0.02961  -0.0606   1.0000   0.0206
 -14.000  -1.2259   0.03285   0.02824  -0.0586   1.0000   0.0208
 -13.750  -1.2244   0.03168   0.02702  -0.0565   1.0000   0.0210
 -13.500  -1.2237   0.03056   0.02586  -0.0541   1.0000   0.0211
 -13.250  -1.2240   0.02951   0.02475  -0.0514   1.0000   0.0213
 -13.000  -1.2274   0.02853   0.02371  -0.0481   1.0000   0.0214
 -12.750  -1.2350   0.02765   0.02278  -0.0438   1.0000   0.0215
 -12.500  -1.2209   0.02656   0.02162  -0.0436   0.9994   0.0218
 -12.250  -1.1982   0.02548   0.02048  -0.0448   0.9982   0.0220
 -12.000  -1.1751   0.02449   0.01942  -0.0459   0.9971   0.0223
 -11.750  -1.1504   0.02358   0.01844  -0.0472   0.9961   0.0226
 -11.500  -1.1240   0.02277   0.01756  -0.0486   0.9953   0.0228
 -11.250  -1.0969   0.02187   0.01660  -0.0501   0.9946   0.0230
 -11.000  -1.0697   0.02058   0.01526  -0.0523   0.9940   0.0237
 -10.750  -1.0456   0.01972   0.01438  -0.0531   0.9927   0.0241
 -10.500  -1.0185   0.01906   0.01370  -0.0543   0.9915   0.0246
 -10.250  -0.9902   0.01847   0.01307  -0.0555   0.9905   0.0251
 -10.000  -0.9613   0.01790   0.01248  -0.0567   0.9897   0.0257
  -9.750  -0.9317   0.01739   0.01192  -0.0580   0.9890   0.0263
  -9.500  -0.9015   0.01695   0.01145  -0.0593   0.9883   0.0268
  -9.250  -0.8701   0.01615   0.01063  -0.0613   0.9878   0.0279
  -9.000  -0.8388   0.01571   0.01019  -0.0628   0.9873   0.0289
  -8.750  -0.8073   0.01534   0.00982  -0.0642   0.9868   0.0299
  -8.500  -0.7756   0.01502   0.00946  -0.0656   0.9864   0.0309
  -8.250  -0.7430   0.01451   0.00894  -0.0673   0.9861   0.0323
  -8.000  -0.7107   0.01414   0.00859  -0.0689   0.9858   0.0338
  -7.750  -0.6784   0.01388   0.00832  -0.0702   0.9855   0.0353
  -7.500  -0.6455   0.01357   0.00799  -0.0718   0.9852   0.0370
  -7.250  -0.6119   0.01321   0.00766  -0.0735   0.9850   0.0392
  -7.000  -0.5784   0.01300   0.00745  -0.0750   0.9847   0.0412
  -6.750  -0.5442   0.01270   0.00716  -0.0768   0.9845   0.0438
  -6.500  -0.5104   0.01247   0.00695  -0.0784   0.9843   0.0466
  -6.250  -0.4769   0.01227   0.00676  -0.0799   0.9841   0.0494
  -6.000  -0.4429   0.01202   0.00656  -0.0816   0.9840   0.0534
  -5.750  -0.4126   0.01178   0.00633  -0.0824   0.9832   0.0577
  -5.500  -0.3836   0.01151   0.00611  -0.0830   0.9821   0.0634
  -5.250  -0.3514   0.01127   0.00593  -0.0842   0.9815   0.0729
  -5.000  -0.3184   0.01104   0.00577  -0.0856   0.9808   0.0842
  -4.750  -0.2845   0.01081   0.00562  -0.0872   0.9803   0.0981
  -4.500  -0.2497   0.01056   0.00548  -0.0890   0.9799   0.1163
  -4.250  -0.2150   0.01033   0.00537  -0.0908   0.9797   0.1388
  -4.000  -0.1791   0.01007   0.00526  -0.0929   0.9796   0.1684
  -3.750  -0.1428   0.00982   0.00516  -0.0951   0.9795   0.2042
  -3.500  -0.1056   0.00956   0.00506  -0.0975   0.9795   0.2428
  -3.250  -0.0614   0.00908   0.00487  -0.1016   0.9795   0.3158
  -3.000  -0.0014   0.00813   0.00447  -0.1096   0.9812   0.4638
  -2.750   0.0472   0.00762   0.00451  -0.1144   0.9807   0.6160
  -2.500   0.0897   0.00748   0.00436  -0.1170   0.9760   0.6391
  -2.250   0.1375   0.00739   0.00429  -0.1205   0.9730   0.6489
  -2.000   0.1664   0.00729   0.00416  -0.1203   0.9672   0.6545
  -1.750   0.2061   0.00709   0.00399  -0.1222   0.9635   0.6577
  -1.500   0.2466   0.00697   0.00391  -0.1244   0.9616   0.6607
  -1.250   0.2822   0.00691   0.00387  -0.1254   0.9581   0.6648
  -1.000   0.3147   0.00671   0.00367  -0.1256   0.9498   0.6694
  -0.750   0.3453   0.00656   0.00352  -0.1257   0.9417   0.6716
  -0.500   0.3753   0.00645   0.00345  -0.1256   0.9300   0.6738
  -0.250   0.4096   0.00647   0.00346  -0.1261   0.9003   0.6766
   0.000   0.4179   0.00817   0.00374  -0.1213   0.5698   0.6786
   0.250   0.4355   0.00911   0.00411  -0.1190   0.4266   0.6815
   0.500   0.4582   0.00981   0.00444  -0.1177   0.3332   0.6854
   0.750   0.4838   0.01030   0.00462  -0.1172   0.2620   0.6881
   1.000   0.5088   0.01063   0.00473  -0.1166   0.2053   0.6896
   1.250   0.5343   0.01095   0.00489  -0.1159   0.1656   0.6906
