  
       XFOIL         Version 6.96
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -12.000  -0.7429   0.08477   0.08039  -0.0499   1.0000   0.0558
 -11.750  -0.7360   0.08195   0.07759  -0.0490   1.0000   0.0550
 -11.500  -0.7532   0.07631   0.07192  -0.0508   1.0000   0.0544
 -11.250  -0.7827   0.07013   0.06566  -0.0526   1.0000   0.0536
 -11.000  -0.8194   0.06444   0.05984  -0.0529   1.0000   0.0528
 -10.750  -0.9536   0.05229   0.04685  -0.0498   1.0000   0.0490
 -10.500  -0.9621   0.04835   0.04259  -0.0494   1.0000   0.0489
 -10.250  -0.9517   0.04632   0.04054  -0.0486   1.0000   0.0495
 -10.000  -0.9400   0.04457   0.03875  -0.0479   1.0000   0.0503
  -9.750  -0.9317   0.04181   0.03576  -0.0476   1.0000   0.0508
  -9.500  -0.9207   0.03882   0.03245  -0.0477   1.0000   0.0512
  -9.250  -0.9058   0.03596   0.02927  -0.0478   1.0000   0.0517
  -9.000  -0.8876   0.03351   0.02652  -0.0479   1.0000   0.0524
  -8.750  -0.8670   0.03136   0.02407  -0.0480   1.0000   0.0533
  -8.500  -0.8446   0.02952   0.02191  -0.0481   1.0000   0.0545
  -8.250  -0.8207   0.02795   0.02003  -0.0483   1.0000   0.0558
  -8.000  -0.7988   0.02652   0.01868  -0.0478   1.0000   0.0576
  -7.750  -0.7746   0.02561   0.01773  -0.0477   1.0000   0.0596
  -7.500  -0.7497   0.02463   0.01663  -0.0475   1.0000   0.0618
  -7.250  -0.7236   0.02377   0.01556  -0.0475   1.0000   0.0638
  -7.000  -0.7009   0.02254   0.01443  -0.0468   1.0000   0.0664
  -6.750  -0.6752   0.02191   0.01381  -0.0468   1.0000   0.0697
  -6.500  -0.6483   0.02135   0.01312  -0.0469   1.0000   0.0733
  -6.250  -0.6239   0.02038   0.01229  -0.0465   1.0000   0.0771
  -6.000  -0.5968   0.01984   0.01174  -0.0467   1.0000   0.0819
  -5.750  -0.5697   0.01910   0.01105  -0.0470   1.0000   0.0873
  -5.500  -0.5412   0.01858   0.01057  -0.0475   1.0000   0.0940
  -5.250  -0.5113   0.01789   0.00997  -0.0485   1.0000   0.1025
  -5.000  -0.4798   0.01728   0.00943  -0.0498   1.0000   0.1141
  -4.750  -0.4460   0.01665   0.00894  -0.0517   1.0000   0.1312
  -4.500  -0.4102   0.01602   0.00846  -0.0541   1.0000   0.1580
  -4.250  -0.3693   0.01524   0.00801  -0.0579   1.0000   0.2048
  -4.000  -0.3152   0.01406   0.00744  -0.0652   1.0000   0.3114
  -3.750  -0.2792   0.01362   0.00837  -0.0669   1.0000   0.5311
  -3.500  -0.2871   0.01514   0.01018  -0.0569   1.0000   0.5807
  -3.250  -0.2573   0.01566   0.01060  -0.0573   1.0000   0.6294
  -3.000  -0.2282   0.01628   0.01111  -0.0574   1.0000   0.6555
  -2.750  -0.2203   0.01722   0.01208  -0.0518   1.0000   0.6636
  -2.500  -0.2035   0.01793   0.01278  -0.0487   1.0000   0.6752
  -2.250  -0.1808   0.01848   0.01329  -0.0472   1.0000   0.6880
  -2.000  -0.1727   0.01906   0.01391  -0.0419   1.0000   0.6922
  -1.750  -0.1464   0.01944   0.01425  -0.0416   1.0000   0.7040
  -1.500  -0.1383   0.01985   0.01471  -0.0363   1.0000   0.7081
  -1.250  -0.1111   0.02021   0.01504  -0.0363   1.0000   0.7199
  -1.000  -0.1068   0.02054   0.01543  -0.0302   1.0000   0.7248
  -0.750  -0.0823   0.02088   0.01578  -0.0295   1.0000   0.7368
  -0.500  -0.0760   0.02107   0.01602  -0.0241   1.0000   0.7424
  -0.250  -0.0482   0.02132   0.01627  -0.0245   1.0000   0.7532
   0.000  -0.0428   0.02144   0.01646  -0.0190   1.0000   0.7604
   0.250  -0.0207   0.02172   0.01677  -0.0173   0.9978   0.7725
   0.500   0.0297   0.02221   0.01729  -0.0206   0.9855   0.7866
   0.750   0.0674   0.02220   0.01734  -0.0215   0.9747   0.7949
   1.000   0.1318   0.02212   0.01727  -0.0289   0.9620   0.8006
   1.250   0.1670   0.02150   0.01672  -0.0293   0.9502   0.8038
   1.500   0.2101   0.02087   0.01615  -0.0314   0.9369   0.8071
   1.750   0.2619   0.01990   0.01526  -0.0349   0.9198   0.8101
   2.000   0.3045   0.01896   0.01439  -0.0369   0.8971   0.8127
   2.250   0.3405   0.01819   0.01369  -0.0379   0.8625   0.8149
   2.500   0.4428   0.01787   0.01161  -0.0489   0.4658   0.8175
   2.750   0.4541   0.01862   0.01167  -0.0460   0.3292   0.8190
   3.000   0.4737   0.01930   0.01181  -0.0450   0.2243   0.8200
   3.250   0.4956   0.01991   0.01203  -0.0443   0.1638   0.8217
   3.500   0.5217   0.02045   0.01234  -0.0444   0.1310   0.8225
   3.750   0.5492   0.02101   0.01274  -0.0448   0.1125   0.8228
   4.000   0.5767   0.02149   0.01315  -0.0451   0.1007   0.8240
   4.250   0.6059   0.02194   0.01358  -0.0457   0.0921   0.8249
   4.500   0.6352   0.02267   0.01422  -0.0464   0.0855   0.8251
   4.750   0.6659   0.02309   0.01466  -0.0473   0.0796   0.8252
   5.000   0.6964   0.02406   0.01552  -0.0483   0.0750   0.8256
   5.250   0.7274   0.02462   0.01617  -0.0491   0.0713   0.8265
   5.500   0.7581   0.02525   0.01676  -0.0500   0.0675   0.8269
   5.750   0.7899   0.02645   0.01795  -0.0512   0.0646   0.8269
   6.000   0.8212   0.02733   0.01899  -0.0520   0.0622   0.8269
   6.250   0.8520   0.02831   0.02006  -0.0528   0.0601   0.8270
   6.500   0.8822   0.02934   0.02109  -0.0537   0.0581   0.8275
   6.750   0.9119   0.03114   0.02300  -0.0545   0.0563   0.8281
   7.000   0.9390   0.03246   0.02466  -0.0546   0.0548   0.8283
   7.250   0.9651   0.03426   0.02677  -0.0545   0.0538   0.8282
   7.500   0.9891   0.03637   0.02921  -0.0542   0.0531   0.8282
   7.750   1.0101   0.03896   0.03218  -0.0534   0.0527   0.8281
   8.000   1.0263   0.04221   0.03589  -0.0521   0.0527   0.8280
   8.250   1.0380   0.04593   0.04009  -0.0503   0.0528   0.8283
   8.500   1.0428   0.05053   0.04519  -0.0480   0.0534   0.8287
   8.750   1.0418   0.05577   0.05088  -0.0455   0.0548   0.8288
   9.000   1.0492   0.05994   0.05521  -0.0444   0.0560   0.8287
   9.250   0.8888   0.08767   0.08452  -0.0382   0.0845   0.8276
   9.500   0.8441   0.09842   0.09544  -0.0472   0.0828   0.8271
