  
       XFOIL         Version 6.96
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.000  -0.6911   0.08778   0.07909  -0.0459   1.0000   0.0714
 -10.750  -0.7187   0.08112   0.07238  -0.0485   1.0000   0.0711
 -10.500  -0.7472   0.07560   0.06679  -0.0496   1.0000   0.0709
 -10.250  -0.7755   0.07118   0.06229  -0.0491   1.0000   0.0707
 -10.000  -0.8016   0.06726   0.05824  -0.0479   1.0000   0.0707
  -9.750  -0.8202   0.06290   0.05368  -0.0480   1.0000   0.0708
  -9.500  -0.8325   0.05866   0.04909  -0.0480   1.0000   0.0712
  -9.250  -0.8310   0.05551   0.04575  -0.0475   1.0000   0.0722
  -9.000  -0.8217   0.05334   0.04352  -0.0468   1.0000   0.0738
  -8.750  -0.8122   0.05098   0.04101  -0.0464   1.0000   0.0757
  -8.500  -0.8023   0.04819   0.03793  -0.0462   1.0000   0.0778
  -8.250  -0.7899   0.04520   0.03453  -0.0461   1.0000   0.0800
  -8.000  -0.7741   0.04239   0.03122  -0.0461   1.0000   0.0824
  -7.750  -0.7556   0.04084   0.02973  -0.0454   1.0000   0.0852
  -7.500  -0.7362   0.03919   0.02793  -0.0449   1.0000   0.0888
  -7.250  -0.7156   0.03734   0.02577  -0.0443   1.0000   0.0926
  -7.000  -0.6951   0.03586   0.02420  -0.0434   1.0000   0.0966
  -6.750  -0.6742   0.03468   0.02300  -0.0425   1.0000   0.1015
  -6.500  -0.6526   0.03345   0.02152  -0.0412   1.0000   0.1071
  -6.250  -0.6324   0.03247   0.02068  -0.0397   1.0000   0.1127
  -6.000  -0.6113   0.03161   0.01969  -0.0381   1.0000   0.1203
  -5.750  -0.5914   0.03079   0.01895  -0.0363   1.0000   0.1278
  -5.500  -0.5708   0.03003   0.01813  -0.0347   1.0000   0.1382
  -5.250  -0.5506   0.02922   0.01742  -0.0333   1.0000   0.1498
  -5.000  -0.5299   0.02840   0.01672  -0.0322   1.0000   0.1646
  -4.750  -0.5082   0.02756   0.01600  -0.0315   1.0000   0.1844
  -4.500  -0.4855   0.02661   0.01528  -0.0313   1.0000   0.2112
  -4.250  -0.4610   0.02551   0.01453  -0.0318   1.0000   0.2518
  -4.000  -0.4345   0.02425   0.01387  -0.0330   1.0000   0.3213
  -3.500  -0.4233   0.02554   0.01666  -0.0186   1.0000   0.4952
  -3.000  -0.3768   0.02732   0.01821  -0.0150   1.0000   0.6285
  -2.750  -0.3475   0.02797   0.01864  -0.0155   1.0000   0.6663
  -2.500  -0.3286   0.02857   0.01913  -0.0128   1.0000   0.6896
  -2.250  -0.3131   0.02898   0.01947  -0.0092   1.0000   0.7087
  -2.000  -0.2976   0.02921   0.01965  -0.0058   1.0000   0.7266
  -1.750  -0.2816   0.02929   0.01967  -0.0027   1.0000   0.7429
  -1.500  -0.2653   0.02926   0.01959   0.0002   1.0000   0.7582
  -1.250  -0.2501   0.02917   0.01947   0.0034   1.0000   0.7743
  -1.000  -0.2360   0.02902   0.01930   0.0068   1.0000   0.7910
  -0.750  -0.2216   0.02879   0.01905   0.0099   1.0000   0.8072
  -0.500  -0.2046   0.02850   0.01875   0.0122   1.0000   0.8205
  -0.250  -0.1804   0.02829   0.01850   0.0122   1.0000   0.8289
   0.000  -0.1593   0.02795   0.01815   0.0131   1.0000   0.8344
   0.250  -0.1360   0.02772   0.01792   0.0133   1.0000   0.8397
   0.500  -0.1088   0.02762   0.01782   0.0124   1.0000   0.8444
   0.750  -0.0855   0.02741   0.01765   0.0126   1.0000   0.8480
   1.000  -0.0613   0.02727   0.01755   0.0125   1.0000   0.8514
   1.250  -0.0351   0.02723   0.01756   0.0119   1.0000   0.8543
   1.500  -0.0075   0.02726   0.01767   0.0109   1.0000   0.8569
   1.750   0.0210   0.02738   0.01788   0.0096   1.0000   0.8592
   2.000   0.0624   0.02771   0.01833   0.0059   0.9925   0.8607
   2.250   0.1236   0.02801   0.01880  -0.0008   0.9683   0.8615
   2.500   0.1801   0.02778   0.01876  -0.0060   0.9386   0.8625
   2.750   0.2307   0.02710   0.01828  -0.0093   0.9036   0.8636
   3.000   0.2668   0.02620   0.01759  -0.0098   0.8571   0.8647
   3.250   0.2944   0.02542   0.01701  -0.0087   0.7919   0.8657
   3.750   0.4151   0.02567   0.01500  -0.0148   0.3268   0.8666
   4.000   0.4385   0.02669   0.01551  -0.0146   0.2479   0.8680
   4.250   0.4658   0.02766   0.01613  -0.0151   0.2002   0.8691
   4.500   0.4962   0.02858   0.01689  -0.0161   0.1693   0.8699
   4.750   0.5283   0.02951   0.01770  -0.0173   0.1483   0.8708
   5.000   0.5626   0.03045   0.01861  -0.0187   0.1325   0.8719
   5.250   0.5976   0.03147   0.01969  -0.0202   0.1207   0.8731
   5.500   0.6315   0.03262   0.02079  -0.0216   0.1119   0.8740
   5.750   0.6646   0.03380   0.02211  -0.0228   0.1041   0.8747
   6.000   0.6954   0.03511   0.02342  -0.0237   0.0982   0.8753
   6.250   0.7257   0.03657   0.02515  -0.0243   0.0931   0.8760
   6.500   0.7529   0.03789   0.02651  -0.0247   0.0888   0.8770
   6.750   0.7791   0.03960   0.02849  -0.0248   0.0850   0.8781
   7.000   0.8040   0.04162   0.03089  -0.0246   0.0821   0.8792
   7.250   0.8273   0.04349   0.03301  -0.0245   0.0792   0.8803
   7.500   0.8507   0.04519   0.03480  -0.0246   0.0766   0.8812
   7.750   0.8684   0.04783   0.03790  -0.0239   0.0743   0.8819
   8.000   0.8824   0.05093   0.04154  -0.0229   0.0729   0.8825
   8.250   0.8933   0.05427   0.04536  -0.0218   0.0718   0.8831
   8.500   0.9009   0.05766   0.04920  -0.0207   0.0706   0.8839
   8.750   0.9063   0.06103   0.05293  -0.0196   0.0694   0.8848
   9.000   0.9111   0.06423   0.05643  -0.0188   0.0681   0.8858
   9.250   0.9180   0.06712   0.05949  -0.0182   0.0670   0.8868
   9.500   0.9289   0.06982   0.06225  -0.0180   0.0660   0.8877
   9.750   0.9178   0.07429   0.06704  -0.0171   0.0658   0.8885
  10.000   0.9004   0.07890   0.07193  -0.0162   0.0658   0.8891
