  
       XFOIL         Version 6.96
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.500  -1.0234   0.09783   0.09406  -0.0455   1.0000   0.0193
 -17.250  -1.0514   0.08879   0.08485  -0.0505   1.0000   0.0193
 -17.000  -1.0738   0.08103   0.07695  -0.0547   1.0000   0.0193
 -16.750  -1.0917   0.07432   0.07009  -0.0583   1.0000   0.0194
 -16.500  -1.1063   0.06847   0.06410  -0.0612   1.0000   0.0194
 -16.250  -1.1180   0.06339   0.05889  -0.0635   1.0000   0.0195
 -16.000  -1.1274   0.05898   0.05436  -0.0653   1.0000   0.0195
 -15.750  -1.1348   0.05515   0.05042  -0.0664   1.0000   0.0196
 -15.500  -1.1407   0.05180   0.04696  -0.0670   1.0000   0.0197
 -15.250  -1.1455   0.04884   0.04390  -0.0671   1.0000   0.0198
 -15.000  -1.1492   0.04623   0.04119  -0.0669   1.0000   0.0199
 -14.750  -1.1522   0.04392   0.03879  -0.0662   1.0000   0.0200
 -14.500  -1.1545   0.04183   0.03662  -0.0652   1.0000   0.0201
 -14.250  -1.1560   0.03995   0.03465  -0.0640   1.0000   0.0203
 -14.000  -1.1566   0.03823   0.03285  -0.0626   1.0000   0.0204
 -13.750  -1.1570   0.03665   0.03118  -0.0609   1.0000   0.0205
 -13.500  -1.1566   0.03521   0.02966  -0.0590   1.0000   0.0207
 -13.250  -1.1559   0.03388   0.02826  -0.0570   1.0000   0.0209
 -13.000  -1.1551   0.03266   0.02697  -0.0548   1.0000   0.0211
 -12.750  -1.1549   0.03153   0.02577  -0.0522   1.0000   0.0213
 -12.500  -1.1427   0.03034   0.02449  -0.0519   0.9990   0.0215
 -12.250  -1.1289   0.02922   0.02327  -0.0518   0.9976   0.0218
 -12.000  -1.1142   0.02818   0.02214  -0.0517   0.9961   0.0220
 -11.750  -1.0962   0.02695   0.02086  -0.0524   0.9947   0.0223
 -11.500  -1.0751   0.02585   0.01972  -0.0533   0.9937   0.0226
 -11.250  -1.0554   0.02488   0.01871  -0.0537   0.9919   0.0230
 -11.000  -1.0335   0.02401   0.01779  -0.0543   0.9903   0.0234
 -10.750  -1.0099   0.02319   0.01692  -0.0550   0.9889   0.0238
 -10.500  -0.9843   0.02240   0.01609  -0.0561   0.9877   0.0243
 -10.250  -0.9573   0.02166   0.01529  -0.0574   0.9866   0.0249
 -10.000  -0.9299   0.02097   0.01453  -0.0586   0.9858   0.0255
  -9.750  -0.9019   0.02027   0.01379  -0.0599   0.9851   0.0261
  -9.500  -0.8732   0.01960   0.01311  -0.0613   0.9845   0.0269
  -9.250  -0.8437   0.01905   0.01254  -0.0627   0.9840   0.0277
  -9.000  -0.8166   0.01852   0.01198  -0.0635   0.9832   0.0287
  -8.750  -0.7920   0.01801   0.01143  -0.0637   0.9818   0.0296
  -8.500  -0.7646   0.01748   0.01088  -0.0645   0.9806   0.0307
  -8.250  -0.7357   0.01700   0.01041  -0.0656   0.9794   0.0320
  -8.000  -0.7062   0.01659   0.00997  -0.0666   0.9785   0.0335
  -7.750  -0.6764   0.01623   0.00957  -0.0676   0.9778   0.0349
  -7.500  -0.6459   0.01576   0.00913  -0.0689   0.9771   0.0367
  -7.250  -0.6152   0.01540   0.00876  -0.0700   0.9765   0.0385
  -7.000  -0.5841   0.01508   0.00842  -0.0712   0.9760   0.0402
  -6.750  -0.5526   0.01471   0.00807  -0.0725   0.9755   0.0423
  -6.500  -0.5209   0.01439   0.00776  -0.0738   0.9751   0.0448
  -6.250  -0.4889   0.01411   0.00748  -0.0751   0.9746   0.0475
  -6.000  -0.4566   0.01381   0.00722  -0.0765   0.9743   0.0512
  -5.750  -0.4240   0.01354   0.00697  -0.0778   0.9739   0.0557
  -5.500  -0.3911   0.01328   0.00675  -0.0793   0.9736   0.0616
  -5.250  -0.3575   0.01301   0.00655  -0.0809   0.9733   0.0695
  -5.000  -0.3236   0.01275   0.00635  -0.0825   0.9730   0.0786
  -4.750  -0.2896   0.01251   0.00617  -0.0841   0.9727   0.0890
  -4.500  -0.2557   0.01228   0.00601  -0.0858   0.9725   0.1008
  -4.250  -0.2253   0.01205   0.00585  -0.0866   0.9716   0.1142
  -4.000  -0.1937   0.01181   0.00572  -0.0878   0.9708   0.1335
  -3.750  -0.1608   0.01157   0.00558  -0.0892   0.9701   0.1553
  -3.500  -0.1260   0.01130   0.00546  -0.0911   0.9696   0.1844
  -3.250  -0.0904   0.01103   0.00534  -0.0932   0.9692   0.2174
  -2.750  -0.0035   0.01007   0.00498  -0.1013   0.9709   0.3567
  -2.500   0.0587   0.00906   0.00490  -0.1099   0.9728   0.5767
  -2.250   0.0790   0.00936   0.00535  -0.1076   0.9679   0.6126
  -2.000   0.1144   0.00932   0.00530  -0.1088   0.9637   0.6273
  -1.750   0.1584   0.00897   0.00491  -0.1117   0.9574   0.6393
  -1.500   0.1930   0.00883   0.00478  -0.1124   0.9494   0.6472
  -1.250   0.2261   0.00867   0.00459  -0.1130   0.9413   0.6546
  -0.250   0.3590   0.01007   0.00433  -0.1143   0.5082   0.6725
   0.000   0.3776   0.01089   0.00470  -0.1121   0.3946   0.6749
   0.250   0.4013   0.01141   0.00491  -0.1112   0.3192   0.6769
   0.500   0.4272   0.01181   0.00505  -0.1107   0.2572   0.6787
   0.750   0.4540   0.01217   0.00516  -0.1105   0.2054   0.6806
   1.000   0.4822   0.01244   0.00525  -0.1106   0.1678   0.6823
   1.250   0.5110   0.01266   0.00531  -0.1109   0.1388   0.6835
   1.500   0.5398   0.01290   0.00539  -0.1111   0.1139   0.6846
   1.750   0.5691   0.01310   0.00548  -0.1114   0.0974   0.6857
   2.000   0.5967   0.01329   0.00560  -0.1113   0.0841   0.6863
   2.250   0.6243   0.01349   0.00573  -0.1111   0.0728   0.6868
   2.500   0.6519   0.01370   0.00588  -0.1110   0.0644   0.6872
   2.750   0.6794   0.01391   0.00605  -0.1108   0.0580   0.6877
   3.000   0.7069   0.01412   0.00624  -0.1106   0.0535   0.6883
   3.250   0.7340   0.01437   0.00645  -0.1103   0.0493   0.6889
   3.500   0.7616   0.01457   0.00666  -0.1101   0.0464   0.6894
   3.750   0.7889   0.01482   0.00688  -0.1099   0.0436   0.6899
