  
       XFOIL         Version 6.96
  
 Calculated polar for: YS-915                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.250  -0.5395   0.10164   0.09708  -0.0361   1.0000   0.1107
  -9.000  -0.5603   0.09878   0.09432  -0.0367   1.0000   0.1111
  -8.750  -0.5875   0.09586   0.09150  -0.0375   1.0000   0.1113
  -8.500  -0.6032   0.09278   0.08848  -0.0367   1.0000   0.1112
  -8.250  -0.6182   0.08947   0.08520  -0.0358   1.0000   0.1111
  -5.250  -0.6111   0.03808   0.03029  -0.0228   1.0000   0.0602
  -5.000  -0.5893   0.03319   0.02514  -0.0215   1.0000   0.0510
  -4.750  -0.5651   0.03113   0.02245  -0.0193   1.0000   0.0456
  -4.500  -0.5422   0.02831   0.01931  -0.0179   1.0000   0.0437
  -4.250  -0.5184   0.02621   0.01693  -0.0165   1.0000   0.0426
  -4.000  -0.4945   0.02437   0.01489  -0.0150   1.0000   0.0426
  -3.750  -0.4719   0.02294   0.01337  -0.0135   1.0000   0.0440
  -3.500  -0.4506   0.02169   0.01205  -0.0119   1.0000   0.0475
  -3.250  -0.4311   0.02035   0.01070  -0.0104   1.0000   0.0611
  -3.000  -0.4132   0.01724   0.00895  -0.0089   1.0000   0.2855
  -2.750  -0.4033   0.01670   0.00932  -0.0046   1.0000   0.5553
  -2.500  -0.3902   0.01668   0.00954  -0.0009   1.0000   0.6341
  -2.250  -0.3701   0.01648   0.00934   0.0009   1.0000   0.6708
  -2.000  -0.3476   0.01623   0.00907   0.0019   1.0000   0.7025
  -1.750  -0.3254   0.01599   0.00888   0.0030   1.0000   0.7433
  -1.500  -0.2993   0.01572   0.00880   0.0037   1.0000   0.8127
  -1.250  -0.2043   0.01594   0.00891  -0.0107   1.0000   1.0000
  -1.000  -0.1847   0.01594   0.00861  -0.0102   1.0000   1.0000
  -0.750  -0.1643   0.01604   0.00849  -0.0095   1.0000   1.0000
  -0.500  -0.1438   0.01617   0.00845  -0.0088   1.0000   1.0000
  -0.250  -0.1232   0.01634   0.00846  -0.0080   1.0000   1.0000
   0.000  -0.1026   0.01653   0.00849  -0.0072   1.0000   1.0000
   0.250  -0.0819   0.01674   0.00859  -0.0065   1.0000   1.0000
   0.500  -0.0613   0.01698   0.00874  -0.0058   1.0000   1.0000
   0.750  -0.0407   0.01724   0.00893  -0.0050   1.0000   1.0000
   1.000  -0.0202   0.01752   0.00917  -0.0043   1.0000   1.0000
   1.250   0.0002   0.01783   0.00944  -0.0037   1.0000   1.0000
   1.500   0.0205   0.01816   0.00976  -0.0030   1.0000   1.0000
   1.750   0.0405   0.01852   0.01011  -0.0023   1.0000   1.0000
   2.000   0.0605   0.01891   0.01051  -0.0017   1.0000   1.0000
   2.250   0.0802   0.01933   0.01095  -0.0011   1.0000   1.0000
   2.500   0.0997   0.01978   0.01145  -0.0005   1.0000   1.0000
   2.750   0.1189   0.02027   0.01199   0.0001   1.0000   1.0000
   3.000   0.1673   0.02141   0.01332  -0.0052   0.9883   1.0000
   3.250   0.2158   0.02245   0.01453  -0.0104   0.9747   1.0000
   3.500   0.2631   0.02330   0.01559  -0.0150   0.9603   1.0000
   3.750   0.3137   0.02405   0.01661  -0.0200   0.9450   1.0000
   4.000   0.3615   0.02439   0.01734  -0.0240   0.9252   1.0000
   4.250   0.5822   0.01979   0.00976  -0.0425   0.0643   1.0000
   4.500   0.5997   0.02163   0.01150  -0.0402   0.0534   1.0000
   4.750   0.6323   0.02367   0.01370  -0.0401   0.0491   1.0000
   5.000   0.6671   0.02658   0.01659  -0.0412   0.0414   1.0000
   5.250   0.6985   0.02895   0.01928  -0.0408   0.0406   1.0000
   5.500   0.7300   0.03317   0.02375  -0.0409   0.0423   1.0000
   5.750   0.7537   0.03442   0.02578  -0.0375   0.0486   1.0000
   6.000   0.7783   0.03853   0.03054  -0.0346   0.0626   1.0000
   7.750   0.8493   0.06858   0.06327  -0.0141   0.1320   1.0000
   8.750   0.8244   0.08191   0.07704  -0.0043   0.1056   1.0000
   9.000   0.7934   0.08383   0.07913  -0.0009   0.1046   1.0000
   9.250   0.7679   0.08693   0.08231   0.0004   0.1037   1.0000
   9.500   0.7436   0.09127   0.08668  -0.0008   0.1025   1.0000
