  
       XFOIL         Version 6.96
  
 Calculated polar for: YS-930                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.750  -0.4353   0.09323   0.09101  -0.0564   0.9937   0.0021
 -10.500  -0.4531   0.08257   0.08040  -0.0623   0.9899   0.0020
  -9.500  -0.4845   0.04108   0.03853  -0.1039   0.9462   0.0017
  -9.000  -0.4708   0.02839   0.02474  -0.1180   0.9185   0.0017
  -8.750  -0.4732   0.02340   0.01906  -0.1170   0.9057   0.0018
  -8.500  -0.4643   0.02051   0.01571  -0.1155   0.8976   0.0020
  -8.250  -0.4458   0.01908   0.01402  -0.1149   0.8924   0.0022
  -8.000  -0.4241   0.01832   0.01312  -0.1145   0.8881   0.0024
  -7.750  -0.4032   0.01732   0.01193  -0.1138   0.8839   0.0027
  -7.500  -0.3815   0.01635   0.01077  -0.1132   0.8803   0.0029
  -7.250  -0.3597   0.01538   0.00961  -0.1125   0.8772   0.0032
  -7.000  -0.3374   0.01457   0.00865  -0.1118   0.8740   0.0035
  -6.750  -0.3124   0.01420   0.00820  -0.1116   0.8712   0.0041
  -6.500  -0.2897   0.01338   0.00718  -0.1110   0.8685   0.0046
  -6.250  -0.2670   0.01247   0.00610  -0.1104   0.8662   0.0054
  -6.000  -0.2425   0.01187   0.00538  -0.1100   0.8641   0.0061
  -5.750  -0.2175   0.01137   0.00477  -0.1096   0.8619   0.0082
  -5.500  -0.1924   0.01088   0.00415  -0.1092   0.8597   0.0119
  -5.250  -0.1664   0.01057   0.00381  -0.1090   0.8575   0.0168
  -5.000  -0.1404   0.01021   0.00342  -0.1088   0.8555   0.0262
  -4.750  -0.1146   0.00979   0.00304  -0.1087   0.8537   0.0523
  -4.500  -0.0901   0.00917   0.00262  -0.1085   0.8522   0.1186
  -4.250  -0.0639   0.00891   0.00249  -0.1084   0.8507   0.1636
  -4.000  -0.0369   0.00880   0.00238  -0.1084   0.8491   0.1817
  -3.750  -0.0101   0.00868   0.00233  -0.1084   0.8475   0.2072
  -3.500   0.0171   0.00859   0.00224  -0.1084   0.8459   0.2194
  -3.250   0.0445   0.00853   0.00214  -0.1085   0.8445   0.2261
  -3.000   0.0718   0.00844   0.00202  -0.1085   0.8430   0.2317
  -2.750   0.0994   0.00839   0.00193  -0.1086   0.8415   0.2370
  -2.500   0.1271   0.00831   0.00185  -0.1086   0.8402   0.2432
  -2.250   0.1550   0.00827   0.00179  -0.1088   0.8391   0.2498
  -2.000   0.1825   0.00821   0.00175  -0.1089   0.8379   0.2569
  -1.500   0.2365   0.00810   0.00169  -0.1088   0.8348   0.2755
  -1.250   0.2636   0.00805   0.00168  -0.1088   0.8332   0.2873
  -1.000   0.2908   0.00799   0.00168  -0.1088   0.8316   0.3028
  -0.750   0.3181   0.00793   0.00169  -0.1088   0.8301   0.3208
  -0.500   0.3454   0.00787   0.00170  -0.1088   0.8286   0.3419
  -0.250   0.3729   0.00780   0.00173  -0.1089   0.8272   0.3662
   0.000   0.4005   0.00773   0.00176  -0.1090   0.8257   0.3954
   0.250   0.4269   0.00765   0.00182  -0.1089   0.8236   0.4292
   0.500   0.4527   0.00756   0.00190  -0.1086   0.8211   0.4687
   0.750   0.4788   0.00745   0.00197  -0.1083   0.8184   0.5139
   1.000   0.5050   0.00732   0.00202  -0.1081   0.8151   0.5666
   1.250   0.5314   0.00716   0.00206  -0.1078   0.8116   0.6275
   1.500   0.5543   0.00698   0.00215  -0.1068   0.8063   0.6972
   1.750   0.5775   0.00673   0.00223  -0.1056   0.8007   0.7821
   2.000   0.6003   0.00648   0.00232  -0.1042   0.7938   0.8841
   2.250   0.6522   0.00637   0.00235  -0.1093   0.7827   0.9640
   2.500   0.6829   0.00633   0.00230  -0.1098   0.7600   0.9868
   2.750   0.7047   0.00651   0.00211  -0.1083   0.6545   1.0000
   3.000   0.7021   0.00741   0.00242  -0.1018   0.5368   1.0000
   3.250   0.7004   0.00846   0.00287  -0.0959   0.4111   1.0000
   3.500   0.7033   0.00952   0.00337  -0.0911   0.2819   1.0000
   3.750   0.7080   0.01065   0.00387  -0.0869   0.1465   1.0000
   4.000   0.7215   0.01140   0.00428  -0.0843   0.0727   1.0000
   4.250   0.7392   0.01193   0.00465  -0.0825   0.0372   1.0000
   4.500   0.7582   0.01238   0.00504  -0.0808   0.0200   1.0000
   4.750   0.7775   0.01285   0.00548  -0.0792   0.0108   1.0000
   5.000   0.7970   0.01329   0.00600  -0.0776   0.0082   1.0000
   5.250   0.8160   0.01372   0.00643  -0.0759   0.0058   1.0000
   5.500   0.8338   0.01426   0.00700  -0.0741   0.0041   1.0000
   5.750   0.8516   0.01481   0.00762  -0.0722   0.0036   1.0000
   6.000   0.8691   0.01541   0.00835  -0.0702   0.0033   1.0000
   6.250   0.8872   0.01599   0.00899  -0.0685   0.0027   1.0000
   6.500   0.9053   0.01661   0.00965  -0.0668   0.0023   1.0000
   6.750   0.9224   0.01740   0.01052  -0.0650   0.0021   1.0000
   7.000   0.9362   0.01937   0.01269  -0.0625   0.0018   1.0000
   7.250   0.9574   0.02065   0.01410  -0.0614   0.0017   1.0000
   7.500   0.9816   0.02227   0.01591  -0.0609   0.0017   1.0000
   7.750   1.0087   0.02447   0.01840  -0.0609   0.0016   1.0000
