2032c-il,6.9,40.0,8.0,20.0
a18-il,3.9,45.0,7.3,30.0
a18sm-il,3.8,49.3,7.3,27.1
a63a108c-il,0.5,12.5,7.7,30.0
ag03-il,2.0,33.1,6.2,25.7
ag04-il,1.7,41.5,6.4,22.5
ag08-il,1.7,40.4,5.8,21.0
ag09-il,1.8,34.1,4.9,17.4
ag10-il,1.7,32.1,4.7,16.0
ag11-il,2.2,29.7,5.8,26.0
ag12-il,1.8,42.8,6.2,20.8
ag13-il,2.0,41.8,5.8,21.3
ag14-il,2.0,41.9,5.4,19.9
ag16-il,1.9,46.9,7.1,23.4
ag17-il,2.0,45.5,6.5,22.1
ag18-il,2.2,44.1,5.9,20.7
ag19-il,2.2,44.2,5.4,20.6
ag24-il,2.2,46.9,8.4,26.0
ag25-il,2.4,45.4,7.6,24.7
ag26-il,2.5,45.5,6.8,23.3
ag27-il,2.6,44.0,6.1,21.7
ag35-il,2.3,37.0,8.7,27.9
ag36-il,2.3,37.0,8.2,27.9
ag37-il,2.1,35.5,7.7,26.5
ag38-il,2.0,36.7,7.0,27.7
ag44ct02r-il,1.9,34.4,7.3,24.6
ag455ct02r-il,1.8,33.1,6.5,23.3
ag45c03-il,2.0,31.7,6.9,23.5
ag45ct02r-il,1.8,33.1,6.9,23.3
ag46c03-il,1.9,37.3,6.0,23.3
ag46ct02r-il,1.6,33.0,6.1,23.3
ag47c03-il,1.3,33.4,5.1,22.4
ag47ct02r-il,1.2,33.4,5.0,22.5
ah21-7-il,2.3,54.8,9.0,34.9
ah21-9-il,1.8,54.8,7.0,34.9
ah63k127-il,3.8,43.5,12.7,40.2
ah6407-il,5.5,40.0,6.9,20.0
ah7476-il,6.2,50.0,5.9,20.0
ah79100a-il,3.6,56.5,10.0,27.9
ah79100b-il,6.4,50.0,10.0,30.9
ah79100c-il,6.7,50.0,9.9,30.9
ah79k132-il,3.7,40.2,13.2,40.2
ah79k135-il,3.1,40.2,13.5,40.2
ah79k143-il,2.9,40.2,14.3,40.2
ah80129-il,4.1,43.5,12.9,40.2
ah80136-il,3.4,33.9,13.5,33.9
ah80140-il,4.4,33.9,14.0,30.9
ah81131-il,2.8,40.2,13.1,40.2
ah81k144-il,4.2,46.7,14.5,40.2
ah81k144wfklappe-il,1.1,56.5,22.0,17.0
ah82150a-il,3.3,43.5,15.0,40.2
ah82150f-il,3.6,46.7,15.0,43.5
ah83150q-il,4.1,37.1,15.0,40.2
ah83159-il,3.8,40.2,15.9,40.2
ah85l120-il,0.0,0.0,12.1,43.5
ah88k130-il,3.9,46.7,13.0,43.5
ah88k136-il,3.0,41.9,13.5,44.9
ah93156-il,3.7,41.5,15.7,39.5
ah93157-il,3.5,41.7,15.7,39.6
ah93k130-il,3.5,42.0,13.1,42.0
ah93k131-il,3.6,41.3,13.1,41.3
ah93k132-il,3.5,41.2,13.2,41.2
ah93w145-il,3.9,37.1,14.5,33.9
ah93w174-il,3.9,37.1,17.4,33.9
ah93w215-il,3.1,40.2,21.2,33.9
ah93w257-il,2.1,77.8,25.7,30.9
ah93w300-il,1.6,72.1,30.0,27.9
ah93w480b-il,3.6,44.1,47.8,44.1
ah94145-il,5.6,44.6,14.6,38.9
ah94156-il,3.6,41.5,15.6,39.6
ah94w301-il,1.3,80.4,30.1,30.9
ah95160-il,5.6,44.6,16.0,38.9
ames01-il,1.4,15.0,10.3,35.0
ames02-il,0.5,12.5,7.7,30.0
ames03-il,1.2,17.5,10.0,37.5
amsoil1-il,2.1,42.0,11.6,39.0
amsoil2-il,1.0,48.0,11.8,39.0
apex16-il,2.4,59.6,12.9,38.6
aquilasm-il,4.0,34.7,9.4,31.3
arad10-il,4.0,35.0,10.0,25.0
arad13-il,3.6,30.0,13.0,25.0
arad20-il,3.8,25.0,20.0,25.0
arad6-il,5.0,45.0,6.0,20.0
as5045-il,1.0,27.2,15.0,37.5
as5046-il,0.7,77.4,16.0,37.6
as5048-il,0.8,77.8,18.0,38.3
atr72sm-il,2.9,21.4,14.5,25.4
august160-il,5.4,25.0,16.0,25.0
avistar-il,2.3,37.9,14.5,34.2
b29root-il,1.7,30.2,22.0,30.2
b29tip-il,2.2,30.0,9.0,30.0
b540ols-il,0.0,0.0,9.7,22.1
b707a-il,0.2,6.0,11.4,24.0
b707b-il,0.7,9.9,12.1,29.9
b707c-il,1.9,15.0,9.6,30.0
b707d-il,1.8,30.0,9.0,40.0
b707e-il,1.8,34.0,9.0,42.0
b737a-il,0.2,5.0,15.4,19.6
b737b-il,0.8,10.0,12.5,29.7
b737c-il,1.5,20.4,10.0,39.9
b737d-il,1.6,20.0,10.8,40.0
bacj-il,1.7,78.0,10.1,40.0
bacnlf-il,1.3,76.7,10.1,43.7
bacxxx-il,1.4,15.0,11.3,35.0
bambino6-il,2.8,40.0,12.0,40.0
be50-il,4.1,45.0,7.3,25.0
be50sm-il,4.0,45.4,7.3,23.8
boe103-il,3.6,40.0,12.7,30.0
boe106-il,3.3,40.0,13.1,30.0
bqm34-il,0.0,0.0,9.9,32.5
bw3-il,5.7,45.4,5.0,7.4
c141a-il,1.1,64.5,13.0,40.2
c141b-il,1.1,64.5,12.6,40.2
c141c-il,1.3,50.0,11.0,40.2
c141d-il,1.5,50.0,10.8,40.2
c141e-il,1.8,50.0,10.5,40.2
c141f-il,2.3,45.1,10.0,40.2
c5a-il,0.7,85.0,13.1,40.0
c5b-il,1.2,70.0,11.5,40.0
c5c-il,1.4,65.0,11.1,40.0
c5d-il,1.4,60.0,11.1,40.0
c5e-il,1.4,30.0,10.8,40.0
cap21c-il,0.6,23.9,15.6,15.7
cast102-il,1.5,69.4,12.2,45.4
ch10sm-il,10.2,49.3,12.8,30.6
chen-il,7.8,25.4,12.5,27.7
clarkk-il,3.3,39.6,11.7,29.7
clarkv-il,3.4,50.0,11.6,30.0
clarkw-il,3.7,40.0,11.2,30.0
clarkx-il,3.3,40.0,11.7,30.0
clarky-il,3.4,42.0,11.7,28.0
clarkyh-il,2.5,30.0,11.9,30.0
clarkys-il,2.4,30.0,11.7,30.0
clarkysm-il,3.5,43.5,11.7,30.9
clarkz-il,4.0,40.0,11.8,30.0
clarym15-il,3.6,39.6,15.0,29.6
clarym18-il,3.6,39.6,18.0,29.6
coanda1-il,2.9,40.0,5.7,30.0
coanda2-il,2.9,30.0,6.0,30.0
coanda3-il,2.9,40.0,7.0,30.0
cootie-il,5.5,40.0,8.5,30.0
cp-060-050-gn,2.7,52.1,10.8,6.3
cp-080-050-gn,5.3,47.0,8.4,5.0
cp-100-050-gn,7.9,46.5,7.0,4.2
cp-120-050-gn,9.9,47.9,6.1,4.0
cp-140-050-gn,12.2,47.7,5.5,3.6
cp-160-050-gn,14.3,49.2,5.2,3.4
cp-180-050-gn,16.4,49.3,5.0,3.2
cr001sm-il,4.1,45.4,7.3,27.1
cr1-il,4.7,42.0,12.2,24.0
curtisc72-il,3.8,50.0,11.7,30.0
dae11-il,6.6,44.4,12.8,32.8
dae21-il,6.6,43.7,11.8,32.0
dae31-il,6.7,47.0,11.1,29.3
dae51-il,4.0,46.4,9.4,30.7
davis-corrected-il,2.5,29.6,15.9,29.6
davis-il,3.7,40.0,11.3,30.0
davissm-il,5.9,45.4,5.9,30.6
daytonwright6-il,4.9,40.0,13.6,30.0
daytonwrightt1-il,4.4,40.0,13.4,30.0
dbln526-il,4.0,50.0,26.0,50.0
defcnd1-il,4.5,36.1,20.9,28.6
defcnd2-il,3.8,28.6,14.7,28.6
defcnd3-il,2.4,28.6,11.5,28.6
df101-il,2.3,43.5,11.0,29.1
df102-il,2.4,43.5,11.0,29.1
dfvlrr4-il,2.1,79.9,13.4,37.9
dga1138-il,2.6,40.0,6.9,30.0
dga1182-il,0.9,20.0,7.6,30.0
dh4009sm-il,0.2,9.6,8.9,41.6
doa5-il,2.5,76.0,16.2,40.1
dormoy-il,2.9,40.0,9.0,30.0
drgnfly-il,6.6,40.9,19.3,37.6
dsma523a-il,2.3,82.0,11.0,36.0
dsma523b-il,2.4,82.0,11.0,36.0
du06-w-200-dt,0.5,84.6,19.8,31.1
du84132v-il,3.1,45.3,13.6,33.9
du8608418-il,1.0,45.8,8.5,36.9
du861372-il,0.3,1.6,13.6,41.6
e1098-il,3.7,54.5,18.9,36.6
e1200-il,3.5,50.2,16.9,36.1
e1210-il,5.2,33.3,15.9,21.1
e1211-il,4.4,37.7,18.0,20.9
e1212-il,3.2,36.4,17.7,23.4
e1212mod-il,2.6,35.1,17.7,20.1
e1213-il,2.1,35.1,17.4,22.1
e1214-il,2.1,30.4,19.8,26.2
e1230-il,3.6,25.6,17.4,30.9
e1233-il,4.4,29.8,18.9,29.8
e168-il,0.0,0.0,12.4,26.7
e169-il,0.0,0.0,14.4,26.5
e171-il,0.0,0.0,12.3,32.4
e174-il,3.3,44.9,8.9,31.2
e176-il,2.9,44.2,8.8,30.5
e178-il,2.8,38.8,8.7,29.8
e180-il,2.0,38.1,8.6,33.5
e182-il,1.2,37.5,8.5,32.4
e184-il,0.8,38.3,8.3,33.3
e186-il,0.8,29.0,10.2,29.0
e193-il,3.0,44.7,10.2,31.0
e195-il,2.7,44.2,11.8,35.0
e197-il,2.8,43.7,13.5,34.6
e201-il,2.6,49.4,11.9,30.8
e203-il,2.3,54.1,13.6,30.7
e205-il,2.5,38.7,10.5,29.7
e207-il,2.5,38.6,12.0,29.6
e209-il,1.6,48.1,13.7,33.8
e210-il,3.7,50.7,13.6,32.1
e211-il,2.2,65.7,10.9,31.7
e212-il,2.5,61.3,10.6,27.5
e214-il,3.7,56.9,11.1,33.1
e216-il,4.7,59.0,10.4,26.2
e220-il,2.2,37.7,11.5,33.1
e221-il,1.6,32.6,9.4,28.1
e222-il,2.1,55.3,10.2,31.1
e224-il,1.5,54.2,10.2,29.8
e226-il,0.5,56.9,10.2,31.3
e228-il,0.3,31.9,10.1,31.9
e230-il,0.0,0.0,10.0,29.3
e231-il,2.5,39.4,12.3,39.4
e266-il,3.1,39.8,17.3,39.8
e297-il,0.0,0.0,11.4,37.7
e325-il,1.8,16.3,12.6,34.3
e326-il,2.1,19.5,12.9,33.4
e327-il,2.6,23.0,13.1,32.4
e328-il,3.0,22.1,13.3,31.5
e329-il,3.5,25.7,13.5,30.6
e330-il,2.1,16.9,11.0,29.2
e331-il,2.7,23.6,11.2,28.3
e332-il,3.1,22.6,11.5,32.3
e333-il,3.5,26.4,11.7,31.3
e334-il,4.0,25.4,11.9,30.3
e335-il,2.3,19.9,12.6,29.0
e336-il,2.8,23.4,12.8,28.1
e337-il,3.2,22.4,13.1,32.0
e338-il,3.7,26.2,13.3,31.1
e339-il,4.1,25.2,13.5,30.1
e340-il,2.6,19.7,13.7,28.8
e341-il,3.0,23.2,13.9,32.8
e342-il,3.5,22.2,14.3,31.8
e343-il,4.0,26.0,14.5,30.9
e344-il,4.3,25.0,14.7,29.9
