  
       XFOIL         Version 6.96
  
 Calculated polar for: AH-6-40-7 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.750  -0.3281   0.10188   0.10028  -0.0270   1.0000   0.0101
  -8.500  -0.3308   0.10021   0.09864  -0.0253   1.0000   0.0103
  -8.250  -0.3324   0.09841   0.09687  -0.0241   0.9997   0.0105
  -8.000  -0.3171   0.09482   0.09327  -0.0278   0.9982   0.0112
  -7.750  -0.3002   0.09034   0.08879  -0.0335   0.9958   0.0126
  -7.500  -0.2810   0.08567   0.08412  -0.0407   0.9924   0.0127
  -7.250  -0.2590   0.08111   0.07956  -0.0472   0.9894   0.0128
  -7.000  -0.2335   0.07620   0.07464  -0.0548   0.9871   0.0128
  -6.750  -0.2110   0.07035   0.06878  -0.0623   0.9854   0.0133
  -6.500  -0.0999   0.01606   0.01291  -0.1370   0.9816   0.0123
  -6.250  -0.0668   0.01418   0.01067  -0.1390   0.9787   0.0128
  -6.000  -0.0336   0.01245   0.00862  -0.1409   0.9759   0.0141
  -5.750  -0.0034   0.01265   0.00887  -0.1413   0.9727   0.0149
  -5.500   0.0269   0.01223   0.00833  -0.1418   0.9692   0.0159
  -5.250   0.0552   0.01173   0.00770  -0.1419   0.9637   0.0168
  -5.000   0.0847   0.01062   0.00638  -0.1424   0.9589   0.0182
  -4.750   0.1114   0.01065   0.00641  -0.1420   0.9515   0.0191
  -4.250   0.1638   0.01050   0.00613  -0.1407   0.9317   0.0217
  -4.000   0.1908   0.01067   0.00626  -0.1402   0.9229   0.0225
  -3.750   0.2205   0.00945   0.00486  -0.1408   0.9156   0.0247
  -3.500   0.2486   0.00931   0.00468  -0.1407   0.9077   0.0261
  -3.000   0.3050   0.00904   0.00428  -0.1405   0.8900   0.0291
  -2.750   0.3331   0.00899   0.00416  -0.1403   0.8801   0.0298
  -2.500   0.3628   0.00808   0.00310  -0.1408   0.8697   0.0321
  -2.250   0.3916   0.00781   0.00278  -0.1409   0.8588   0.0336
  -2.000   0.4204   0.00762   0.00254  -0.1409   0.8479   0.0351
  -1.750   0.4490   0.00749   0.00235  -0.1410   0.8363   0.0369
  -1.500   0.4776   0.00737   0.00216  -0.1410   0.8243   0.0382
