  
       XFOIL         Version 6.96
  
 Calculated polar for: AH-7-47-6 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.1915   0.09588   0.09410  -0.0698   0.9856   0.0053
  -8.750  -0.1814   0.09276   0.09098  -0.0718   0.9833   0.0054
  -8.500  -0.1688   0.08938   0.08761  -0.0747   0.9817   0.0057
  -8.250  -0.1552   0.08564   0.08386  -0.0782   0.9803   0.0060
  -8.000  -0.1422   0.08116   0.07938  -0.0825   0.9785   0.0064
  -7.750  -0.1340   0.07692   0.07515  -0.0858   0.9733   0.0068
  -7.500  -0.1140   0.07437   0.07260  -0.0895   0.9707   0.0070
  -7.250  -0.0919   0.07169   0.06991  -0.0937   0.9687   0.0074
  -7.000  -0.0761   0.06894   0.06716  -0.0967   0.9630   0.0078
  -6.750  -0.0526   0.06468   0.06288  -0.1031   0.9595   0.0084
  -6.500  -0.0279   0.05860   0.05676  -0.1122   0.9531   0.0093
  -6.250  -0.0007   0.05603   0.05418  -0.1171   0.9494   0.0095
  -6.000   0.0263   0.05352   0.05164  -0.1217   0.9446   0.0099
  -5.750   0.0577   0.05016   0.04825  -0.1281   0.9392   0.0107
  -5.250   0.1428   0.04005   0.03797  -0.1488   0.9279   0.0125
  -5.000   0.1794   0.03748   0.03534  -0.1544   0.9229   0.0132
  -4.750   0.2583   0.02668   0.02419  -0.1751   0.9188   0.0156
  -4.500   0.2907   0.02537   0.02279  -0.1776   0.9117   0.0159
  -4.250   0.3246   0.02374   0.02104  -0.1805   0.9027   0.0164
  -4.000   0.3687   0.02008   0.01710  -0.1861   0.8933   0.0172
  -3.750   0.4232   0.01450   0.01066  -0.1934   0.8825   0.0193
  -3.500   0.4560   0.01306   0.00899  -0.1953   0.8677   0.0197
  -3.250   0.4862   0.01242   0.00820  -0.1962   0.8554   0.0199
  -3.000   0.5164   0.01184   0.00747  -0.1970   0.8454   0.0202
  -2.750   0.5466   0.01126   0.00671  -0.1977   0.8353   0.0204
  -2.500   0.5769   0.01070   0.00599  -0.1984   0.8251   0.0206
  -2.250   0.6068   0.01022   0.00535  -0.1989   0.8161   0.0208
  -2.000   0.6363   0.00985   0.00488  -0.1993   0.8082   0.0211
  -1.750   0.6663   0.00939   0.00429  -0.1999   0.8021   0.0211
  -1.500   0.6960   0.00900   0.00381  -0.2003   0.7953   0.0212
  -1.250   0.7251   0.00870   0.00343  -0.2006   0.7885   0.0214
  -1.000   0.7542   0.00845   0.00313  -0.2009   0.7804   0.0218
  -0.750   0.7829   0.00828   0.00290  -0.2010   0.7712   0.0223
  -0.500   0.8110   0.00818   0.00274  -0.2011   0.7599   0.0229
  -0.250   0.8392   0.00810   0.00262  -0.2012   0.7470   0.0232
   0.000   0.8663   0.00810   0.00253  -0.2010   0.7226   0.0235
   0.250   0.8901   0.00838   0.00252  -0.2001   0.6623   0.0236
   0.500   0.9128   0.00883   0.00262  -0.1991   0.5924   0.0238
   0.750   0.9377   0.00907   0.00260  -0.1986   0.5333   0.0243
   1.000   0.9628   0.00933   0.00263  -0.1982   0.4814   0.0248
   1.250   0.9886   0.00955   0.00270  -0.1979   0.4488   0.0248
   1.750   1.0414   0.00986   0.00282  -0.1974   0.4055   0.0249
   2.000   1.0685   0.00994   0.00287  -0.1973   0.3941   0.0252
   2.250   1.0954   0.01004   0.00294  -0.1972   0.3815   0.0257
   2.500   1.1221   0.01016   0.00302  -0.1970   0.3683   0.0265
   2.750   1.1486   0.01029   0.00312  -0.1967   0.3567   0.0277
   3.000   1.1747   0.01047   0.00324  -0.1964   0.3396   0.0287
   3.250   1.1996   0.01076   0.00341  -0.1959   0.3105   0.0294
   3.500   1.2227   0.01123   0.00367  -0.1951   0.2649   0.0305
   3.750   1.2456   0.01173   0.00397  -0.1942   0.2255   0.0327
   4.000   1.2677   0.01231   0.00433  -0.1932   0.1827   0.0341
   4.250   1.2913   0.01272   0.00464  -0.1925   0.1554   0.0663
   4.750   1.3387   0.01249   0.00562  -0.1916   0.1069   1.0000
   5.250   1.3829   0.01361   0.00644  -0.1896   0.0544   1.0000
   5.500   1.4066   0.01396   0.00677  -0.1888   0.0478   1.0000
   5.750   1.4300   0.01432   0.00711  -0.1880   0.0409   1.0000
   6.000   1.4500   0.01506   0.00767  -0.1866   0.0172   1.0000
   6.250   1.4724   0.01550   0.00811  -0.1856   0.0125   1.0000
   6.500   1.4953   0.01586   0.00850  -0.1847   0.0112   1.0000
   6.750   1.5175   0.01628   0.00894  -0.1837   0.0099   1.0000
   7.000   1.5387   0.01677   0.00946  -0.1824   0.0085   1.0000
   7.250   1.5602   0.01720   0.00993  -0.1813   0.0078   1.0000
   7.500   1.5815   0.01763   0.01040  -0.1801   0.0072   1.0000
   7.750   1.6019   0.01810   0.01090  -0.1788   0.0065   1.0000
   8.000   1.6213   0.01864   0.01146  -0.1772   0.0060   1.0000
   8.250   1.6388   0.01931   0.01219  -0.1753   0.0054   1.0000
   8.500   1.6574   0.01982   0.01275  -0.1736   0.0052   1.0000
   8.750   1.6752   0.02037   0.01337  -0.1718   0.0050   1.0000
   9.000   1.6919   0.02097   0.01402  -0.1698   0.0048   1.0000
   9.250   1.7076   0.02159   0.01470  -0.1677   0.0045   1.0000
   9.500   1.7217   0.02223   0.01541  -0.1652   0.0043   1.0000
   9.750   1.7347   0.02290   0.01613  -0.1625   0.0041   1.0000
  10.000   1.7469   0.02365   0.01693  -0.1598   0.0038   1.0000
  10.250   1.7564   0.02463   0.01799  -0.1567   0.0036   1.0000
  10.500   1.7660   0.02561   0.01906  -0.1536   0.0034   1.0000
  10.750   1.7769   0.02650   0.02004  -0.1509   0.0034   1.0000
  11.000   1.7871   0.02745   0.02107  -0.1481   0.0033   1.0000
  11.250   1.7961   0.02851   0.02222  -0.1452   0.0032   1.0000
  11.500   1.8044   0.02964   0.02345  -0.1424   0.0031   1.0000
  11.750   1.8118   0.03085   0.02476  -0.1395   0.0030   1.0000
  12.000   1.8184   0.03216   0.02616  -0.1366   0.0029   1.0000
  12.250   1.8244   0.03354   0.02765  -0.1337   0.0028   1.0000
  12.500   1.8295   0.03502   0.02922  -0.1309   0.0027   1.0000
  12.750   1.8338   0.03661   0.03092  -0.1281   0.0027   1.0000
  13.000   1.8376   0.03831   0.03273  -0.1255   0.0026   1.0000
  13.250   1.8401   0.04017   0.03469  -0.1229   0.0025   1.0000
  13.500   1.8421   0.04213   0.03676  -0.1204   0.0025   1.0000
  13.750   1.8424   0.04433   0.03907  -0.1180   0.0024   1.0000
  14.000   1.8419   0.04672   0.04157  -0.1158   0.0024   1.0000
  14.250   1.8390   0.04944   0.04441  -0.1136   0.0023   1.0000
  14.500   1.8357   0.05229   0.04738  -0.1118   0.0023   1.0000
  14.750   1.8292   0.05570   0.05092  -0.1100   0.0022   1.0000
  15.000   1.8212   0.05947   0.05483  -0.1086   0.0022   1.0000
  15.250   1.8113   0.06371   0.05924  -0.1076   0.0022   1.0000
  15.500   1.7973   0.06875   0.06443  -0.1071   0.0021   1.0000
  15.750   1.7831   0.07415   0.07000  -0.1072   0.0021   1.0000
  16.000   1.7677   0.08008   0.07610  -0.1079   0.0021   1.0000
  16.250   1.7523   0.08632   0.08249  -0.1092   0.0021   1.0000
  16.500   1.7393   0.09235   0.08867  -0.1107   0.0020   1.0000
  16.750   1.7209   0.09959   0.09608  -0.1130   0.0020   1.0000
  17.000   1.7075   0.10612   0.10275  -0.1154   0.0020   1.0000
  17.250   1.6905   0.11344   0.11022  -0.1183   0.0020   1.0000
  17.500   1.6708   0.12135   0.11828  -0.1217   0.0020   1.0000
  17.750   1.6537   0.12892   0.12599  -0.1251   0.0020   1.0000
