  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.000  -0.6173   0.09003   0.08815  -0.0439   1.0000   0.0058
 -12.750  -0.8053   0.05231   0.05013  -0.0665   1.0000   0.0053
 -12.500  -0.8582   0.04171   0.03938  -0.0726   1.0000   0.0052
 -12.000  -0.8504   0.02745   0.02455  -0.0950   0.9952   0.0053
 -11.750  -0.8254   0.02518   0.02209  -0.0986   0.9905   0.0054
 -11.500  -0.8000   0.02315   0.01984  -0.1015   0.9859   0.0055
 -11.250  -0.7722   0.02153   0.01804  -0.1038   0.9824   0.0056
 -11.000  -0.7424   0.02005   0.01639  -0.1063   0.9802   0.0057
 -10.750  -0.7138   0.01890   0.01509  -0.1079   0.9765   0.0058
 -10.500  -0.6844   0.01782   0.01387  -0.1095   0.9725   0.0059
 -10.250  -0.6537   0.01690   0.01281  -0.1111   0.9691   0.0060
 -10.000  -0.6246   0.01605   0.01183  -0.1123   0.9643   0.0061
  -9.750  -0.5961   0.01507   0.01071  -0.1133   0.9584   0.0062
  -9.500  -0.5674   0.01421   0.00972  -0.1143   0.9530   0.0065
  -9.250  -0.5405   0.01356   0.00898  -0.1146   0.9457   0.0067
  -9.000  -0.5129   0.01300   0.00833  -0.1149   0.9391   0.0069
  -8.750  -0.4863   0.01252   0.00776  -0.1150   0.9315   0.0072
  -8.500  -0.4594   0.01209   0.00724  -0.1151   0.9246   0.0075
  -8.250  -0.4326   0.01167   0.00674  -0.1151   0.9175   0.0078
  -8.000  -0.4057   0.01128   0.00626  -0.1151   0.9109   0.0082
  -7.750  -0.3787   0.01092   0.00583  -0.1151   0.9043   0.0085
  -7.500  -0.3518   0.01054   0.00536  -0.1150   0.8967   0.0091
  -7.250  -0.3248   0.01025   0.00503  -0.1149   0.8880   0.0101
  -7.000  -0.2978   0.01001   0.00472  -0.1148   0.8790   0.0110
  -6.750  -0.2704   0.00977   0.00442  -0.1147   0.8706   0.0117
  -6.500  -0.2430   0.00949   0.00410  -0.1147   0.8645   0.0130
  -6.250  -0.2152   0.00927   0.00384  -0.1147   0.8588   0.0141
  -6.000  -0.1875   0.00908   0.00359  -0.1147   0.8528   0.0151
  -5.750  -0.1597   0.00888   0.00333  -0.1147   0.8471   0.0159
  -5.500  -0.1319   0.00864   0.00306  -0.1147   0.8410   0.0174
  -5.250  -0.1042   0.00847   0.00284  -0.1147   0.8348   0.0188
  -5.000  -0.0762   0.00831   0.00264  -0.1147   0.8277   0.0200
  -4.750  -0.0484   0.00815   0.00243  -0.1146   0.8209   0.0218
  -4.500  -0.0204   0.00797   0.00224  -0.1147   0.8146   0.0245
  -4.250   0.0076   0.00783   0.00207  -0.1146   0.8080   0.0266
  -4.000   0.0356   0.00767   0.00190  -0.1146   0.8017   0.0315
  -3.750   0.0637   0.00755   0.00175  -0.1146   0.7944   0.0361
  -3.500   0.0916   0.00741   0.00161  -0.1146   0.7867   0.0432
  -3.250   0.1194   0.00729   0.00148  -0.1145   0.7773   0.0527
  -3.000   0.1474   0.00715   0.00136  -0.1145   0.7684   0.0673
  -2.750   0.1752   0.00704   0.00125  -0.1145   0.7599   0.0835
  -2.500   0.2031   0.00688   0.00115  -0.1145   0.7509   0.1079
  -2.250   0.2308   0.00673   0.00106  -0.1145   0.7419   0.1416
  -2.000   0.2582   0.00656   0.00098  -0.1144   0.7306   0.1848
  -1.750   0.2855   0.00636   0.00091  -0.1143   0.7172   0.2432
  -1.500   0.3129   0.00627   0.00087  -0.1143   0.7038   0.2791
  -1.250   0.3405   0.00620   0.00084  -0.1142   0.6914   0.3110
  -1.000   0.3681   0.00614   0.00084  -0.1141   0.6802   0.3489
  -0.750   0.3956   0.00613   0.00084  -0.1139   0.6669   0.3734
  -0.500   0.4228   0.00616   0.00085  -0.1138   0.6502   0.3945
  -0.250   0.4499   0.00619   0.00088  -0.1135   0.6321   0.4187
   0.000   0.4771   0.00627   0.00090  -0.1133   0.6150   0.4300
   0.250   0.5045   0.00633   0.00093  -0.1132   0.6004   0.4426
   0.750   0.5589   0.00648   0.00103  -0.1128   0.5697   0.4678
   1.250   0.6129   0.00667   0.00115  -0.1123   0.5372   0.4921
   1.500   0.6402   0.00676   0.00122  -0.1121   0.5241   0.5037
   1.750   0.6673   0.00685   0.00129  -0.1120   0.5103   0.5152
   2.000   0.6940   0.00698   0.00138  -0.1117   0.4912   0.5251
   2.250   0.7205   0.00712   0.00148  -0.1114   0.4689   0.5377
   2.500   0.7468   0.00729   0.00159  -0.1111   0.4473   0.5517
   2.750   0.7734   0.00742   0.00170  -0.1108   0.4303   0.5655
   3.000   0.7999   0.00757   0.00182  -0.1105   0.4122   0.5782
   3.250   0.8260   0.00774   0.00196  -0.1102   0.3919   0.5911
   3.500   0.8520   0.00793   0.00211  -0.1098   0.3717   0.6038
   3.750   0.8775   0.00817   0.00228  -0.1094   0.3460   0.6178
   4.000   0.9026   0.00843   0.00247  -0.1090   0.3186   0.6336
   4.250   0.9270   0.00876   0.00270  -0.1084   0.2854   0.6518
   4.500   0.9513   0.00906   0.00294  -0.1078   0.2560   0.6765
   4.750   0.9760   0.00928   0.00317  -0.1072   0.2336   0.7092
   5.000   0.9992   0.00958   0.00346  -0.1065   0.2040   0.7551
   5.250   1.0164   0.00979   0.00381  -0.1044   0.1606   0.8977
   5.500   1.0458   0.01029   0.00418  -0.1051   0.1229   1.0000
   5.750   1.0693   0.01076   0.00451  -0.1045   0.0989   1.0000
   6.000   1.0925   0.01123   0.00486  -0.1037   0.0765   1.0000
   6.250   1.1162   0.01165   0.00520  -0.1031   0.0607   1.0000
   6.500   1.1398   0.01207   0.00555  -0.1024   0.0477   1.0000
   6.750   1.1633   0.01248   0.00591  -0.1017   0.0376   1.0000
   7.000   1.1864   0.01292   0.00630  -0.1010   0.0284   1.0000
   7.250   1.2088   0.01342   0.00673  -0.1001   0.0195   1.0000
   7.500   1.2314   0.01388   0.00717  -0.0993   0.0144   1.0000
   7.750   1.2543   0.01429   0.00758  -0.0985   0.0121   1.0000
   8.000   1.2765   0.01475   0.00805  -0.0976   0.0103   1.0000
   8.250   1.2992   0.01514   0.00847  -0.0969   0.0095   1.0000
