  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.250  -0.3934   0.08694   0.08335  -0.0425   1.0000   0.0175
  -9.000  -0.4020   0.08240   0.07887  -0.0437   1.0000   0.0173
  -8.750  -0.4157   0.07770   0.07427  -0.0444   1.0000   0.0171
  -8.500  -0.5117   0.04916   0.04567  -0.0674   0.9924   0.0155
  -8.250  -0.4928   0.03664   0.03223  -0.0877   0.9815   0.0155
  -8.000  -0.4686   0.03158   0.02665  -0.0935   0.9758   0.0159
  -7.750  -0.4399   0.02872   0.02345  -0.0969   0.9714   0.0164
  -7.500  -0.4078   0.02629   0.02066  -0.1001   0.9685   0.0170
  -7.250  -0.3795   0.02421   0.01821  -0.1018   0.9636   0.0179
  -7.000  -0.3487   0.02225   0.01589  -0.1035   0.9596   0.0190
  -6.750  -0.3153   0.02073   0.01401  -0.1054   0.9568   0.0206
  -6.500  -0.2817   0.01963   0.01285  -0.1074   0.9544   0.0225
  -6.250  -0.2541   0.01878   0.01185  -0.1078   0.9487   0.0243
  -6.000  -0.2226   0.01775   0.01062  -0.1089   0.9445   0.0262
  -5.750  -0.1894   0.01683   0.00964  -0.1104   0.9413   0.0288
  -5.500  -0.1594   0.01620   0.00894  -0.1111   0.9361   0.0316
  -5.250  -0.1290   0.01557   0.00816  -0.1117   0.9304   0.0343
  -5.000  -0.0962   0.01477   0.00733  -0.1130   0.9261   0.0380
  -4.750  -0.0676   0.01424   0.00673  -0.1133   0.9194   0.0415
  -4.500  -0.0371   0.01371   0.00612  -0.1139   0.9138   0.0466
  -4.250  -0.0053   0.01322   0.00558  -0.1148   0.9096   0.0544
  -4.000   0.0218   0.01281   0.00515  -0.1147   0.9024   0.0643
  -3.750   0.0521   0.01240   0.00474  -0.1152   0.8973   0.0814
  -3.500   0.0807   0.01198   0.00440  -0.1155   0.8912   0.1128
