  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 B AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.250  -0.1288   0.10389   0.10025  -0.0769   0.9584   0.0222
  -9.000  -0.1136   0.10038   0.09674  -0.0800   0.9546   0.0226
  -8.750  -0.1027   0.09730   0.09365  -0.0820   0.9466   0.0229
  -8.500  -0.0871   0.09375   0.09009  -0.0855   0.9422   0.0234
  -8.250  -0.0741   0.09047   0.08680  -0.0883   0.9348   0.0239
  -8.000  -0.0572   0.08675   0.08308  -0.0925   0.9297   0.0240
  -7.750  -0.0405   0.08314   0.07945  -0.0966   0.9234   0.0246
  -7.500  -0.0245   0.07825   0.07453  -0.1021   0.9161   0.0202
  -7.250  -0.0046   0.07425   0.07050  -0.1070   0.9099   0.0190
  -7.000   0.0147   0.07013   0.06635  -0.1126   0.9021   0.0191
  -6.750   0.0336   0.06612   0.06231  -0.1183   0.8936   0.0194
  -6.500   0.0569   0.06174   0.05789  -0.1255   0.8855   0.0197
  -6.250   0.0769   0.05659   0.05269  -0.1337   0.8753   0.0204
  -6.000   0.1033   0.05131   0.04735  -0.1429   0.8676   0.0202
  -5.750   0.1329   0.04444   0.04036  -0.1553   0.8586   0.0201
  -5.500   0.1788   0.03290   0.02831  -0.1742   0.8512   0.0203
  -5.250   0.2232   0.02553   0.02019  -0.1850   0.8449   0.0223
  -5.000   0.2574   0.02440   0.01884  -0.1878   0.8402   0.0244
  -4.750   0.2967   0.02068   0.01435  -0.1923   0.8345   0.0268
  -4.500   0.3304   0.01914   0.01247  -0.1947   0.8292   0.0290
  -4.250   0.3645   0.01796   0.01100  -0.1965   0.8244   0.0303
  -4.000   0.3944   0.01703   0.00982  -0.1973   0.8178   0.0319
  -3.750   0.4265   0.01627   0.00879  -0.1984   0.8126   0.0342
  -3.500   0.4575   0.01551   0.00781  -0.1992   0.8079   0.0352
  -3.250   0.4870   0.01471   0.00689  -0.1998   0.8025   0.0363
  -3.000   0.5179   0.01411   0.00623  -0.2006   0.7978   0.0381
  -2.750   0.5480   0.01380   0.00586  -0.2013   0.7931   0.0410
  -2.500   0.5769   0.01348   0.00549  -0.2016   0.7875   0.0438
  -2.250   0.6075   0.01318   0.00509  -0.2023   0.7826   0.0461
  -2.000   0.6384   0.01283   0.00471  -0.2032   0.7773   0.0508
  -1.750   0.6675   0.01267   0.00450  -0.2035   0.7710   0.0581
  -1.500   0.6987   0.01246   0.00426  -0.2043   0.7661   0.0736
  -1.250   0.7284   0.01223   0.00415  -0.2049   0.7606   0.1149
  -1.000   0.7608   0.01169   0.00417  -0.2066   0.7552   0.3100
  -0.750   0.7914   0.01148   0.00427  -0.2074   0.7504   0.4627
  -0.500   0.8179   0.01147   0.00440  -0.2071   0.7434   0.5323
  -0.250   0.8456   0.01147   0.00447  -0.2070   0.7374   0.5885
   0.000   0.8723   0.01148   0.00457  -0.2066   0.7314   0.6397
   0.250   0.8987   0.01151   0.00465  -0.2063   0.7257   0.6737
   0.500   0.9263   0.01154   0.00467  -0.2061   0.7209   0.6966
   0.750   0.9522   0.01158   0.00477  -0.2057   0.7147   0.7203
   1.000   0.9785   0.01162   0.00482  -0.2053   0.7088   0.7456
   1.250   1.0040   0.01164   0.00487  -0.2047   0.7027   0.7761
   1.500   1.0275   0.01164   0.00493  -0.2037   0.6955   0.8136
   1.750   1.0482   0.01157   0.00493  -0.2020   0.6890   0.8725
   2.000   1.0708   0.01154   0.00494  -0.2008   0.6814   1.0000
   2.500   1.1262   0.01184   0.00517  -0.2009   0.6683   1.0000
   2.750   1.1539   0.01198   0.00529  -0.2009   0.6618   1.0000
   3.000   1.1803   0.01215   0.00546  -0.2007   0.6539   1.0000
   3.250   1.2075   0.01230   0.00557  -0.2006   0.6467   1.0000
   3.500   1.2333   0.01248   0.00577  -0.2003   0.6377   1.0000
   3.750   1.2594   0.01265   0.00594  -0.2000   0.6286   1.0000
   4.000   1.2849   0.01283   0.00613  -0.1996   0.6187   1.0000
   4.250   1.3100   0.01303   0.00635  -0.1991   0.6088   1.0000
   4.500   1.3349   0.01324   0.00658  -0.1986   0.5976   1.0000
   4.750   1.3594   0.01346   0.00679  -0.1979   0.5858   1.0000
   5.000   1.3833   0.01370   0.00703  -0.1972   0.5727   1.0000
   5.250   1.4062   0.01398   0.00729  -0.1963   0.5576   1.0000
   5.500   1.4283   0.01428   0.00761  -0.1952   0.5402   1.0000
   5.750   1.4494   0.01463   0.00793  -0.1939   0.5208   1.0000
   6.000   1.4700   0.01502   0.00829  -0.1926   0.5023   1.0000
   6.250   1.4897   0.01546   0.00869  -0.1911   0.4832   1.0000
   6.500   1.5083   0.01594   0.00915  -0.1895   0.4610   1.0000
   6.750   1.5253   0.01649   0.00965  -0.1876   0.4399   1.0000
   7.000   1.5418   0.01706   0.01020  -0.1856   0.4176   1.0000
   7.250   1.5561   0.01772   0.01080  -0.1833   0.3945   1.0000
   7.500   1.5668   0.01847   0.01147  -0.1803   0.3682   1.0000
   7.750   1.5736   0.01937   0.01228  -0.1767   0.3358   1.0000
   8.000   1.5768   0.02050   0.01324  -0.1727   0.2986   1.0000
   8.250   1.5760   0.02194   0.01445  -0.1683   0.2549   1.0000
   8.500   1.5728   0.02370   0.01593  -0.1639   0.2089   1.0000
   9.000   1.5641   0.02790   0.01959  -0.1558   0.1193   1.0000
   9.250   1.5623   0.03005   0.02156  -0.1525   0.0875   1.0000
   9.500   1.5640   0.03203   0.02346  -0.1497   0.0696   1.0000
   9.750   1.5678   0.03391   0.02535  -0.1474   0.0587   1.0000
  10.000   1.5731   0.03572   0.02722  -0.1453   0.0503   1.0000
  10.250   1.5783   0.03761   0.02917  -0.1433   0.0429   1.0000
  10.500   1.5821   0.03970   0.03131  -0.1414   0.0359   1.0000
  10.750   1.5862   0.04182   0.03348  -0.1397   0.0289   1.0000
  11.000   1.5897   0.04407   0.03580  -0.1380   0.0244   1.0000
  11.250   1.5909   0.04664   0.03842  -0.1363   0.0216   1.0000
  11.500   1.5930   0.04919   0.04113  -0.1347   0.0195   1.0000
  11.750   1.5938   0.05195   0.04400  -0.1333   0.0180   1.0000
  12.000   1.5917   0.05514   0.04730  -0.1320   0.0167   1.0000
  12.250   1.5922   0.05813   0.05043  -0.1309   0.0157   1.0000
  12.500   1.5934   0.06111   0.05356  -0.1300   0.0147   1.0000
  12.750   1.5937   0.06429   0.05687  -0.1292   0.0139   1.0000
  13.000   1.5931   0.06765   0.06037  -0.1285   0.0133   1.0000
  13.250   1.5909   0.07133   0.06417  -0.1280   0.0128   1.0000
  13.500   1.5866   0.07542   0.06838  -0.1276   0.0124   1.0000
  13.750   1.5833   0.07945   0.07255  -0.1274   0.0121   1.0000
  14.000   1.5823   0.08321   0.07647  -0.1273   0.0118   1.0000
  14.250   1.5812   0.08706   0.08050  -0.1272   0.0114   1.0000
  14.500   1.5802   0.09094   0.08453  -0.1273   0.0112   1.0000
