  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 B AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000  -0.3339   0.12872   0.12284  -0.0245   1.0000   0.1320
  -7.750  -0.3531   0.12958   0.12381  -0.0231   1.0000   0.1330
  -7.500  -0.3738   0.13043   0.12479  -0.0215   1.0000   0.1334
  -7.250  -0.3455   0.12255   0.11687  -0.0195   1.0000   0.1389
  -7.000  -0.3516   0.12110   0.11548  -0.0178   1.0000   0.1432
  -6.750  -0.3652   0.12066   0.11514  -0.0162   1.0000   0.1461
  -6.500  -0.3855   0.12101   0.11560  -0.0143   1.0000   0.1477
  -6.250  -0.4068   0.12167   0.11637  -0.0143   1.0000   0.1487
  -6.000  -0.3918   0.11601   0.11070  -0.0108   1.0000   0.1532
  -5.750  -0.3953   0.11413   0.10888  -0.0092   1.0000   0.1583
  -5.500  -0.4083   0.11358   0.10841  -0.0103   1.0000   0.1629
  -5.250  -0.4154   0.11198   0.10690  -0.0131   1.0000   0.1652
  -5.000  -0.4080   0.10822   0.10315  -0.0076   1.0000   0.1720
  -4.750  -0.4126   0.10765   0.10263  -0.0162   1.0000   0.1796
  -4.500  -0.4098   0.10361   0.09864  -0.0082   1.0000   0.1861
  -4.250  -0.4065   0.10159   0.09667  -0.0152   1.0000   0.1962
  -4.000  -0.4047   0.09872   0.09383  -0.0094   1.0000   0.2038
  -3.750  -0.3992   0.09592   0.09107  -0.0118   1.0000   0.2148
  -3.500  -0.3894   0.09321   0.08837  -0.0156   1.0000   0.2283
  -3.250  -0.3785   0.09051   0.08568  -0.0180   1.0000   0.2431
  -3.000  -0.3693   0.08776   0.08295  -0.0185   1.0000   0.2589
  -2.750  -0.3612   0.08511   0.08030  -0.0177   1.0000   0.2755
  -2.500  -0.3533   0.08270   0.07792  -0.0165   1.0000   0.2943
  -2.250  -0.3412   0.08032   0.07556  -0.0174   1.0000   0.3223
  -2.000  -0.3337   0.07822   0.07351  -0.0156   1.0000   0.3533
  -1.750  -0.3284   0.07623   0.07155  -0.0125   1.0000   0.3858
  -1.000   0.0737   0.05027   0.04224  -0.1165   1.0000   0.1641
  -0.750   0.1158   0.04879   0.04033  -0.1212   1.0000   0.1628
  -0.500   0.1549   0.04777   0.03886  -0.1249   1.0000   0.1600
  -0.250   0.1910   0.04728   0.03793  -0.1277   1.0000   0.1593
   0.000   0.2931   0.04742   0.03737  -0.1408   0.9731   0.1767
   0.250   0.3451   0.04749   0.03716  -0.1453   0.9594   0.1962
   0.500   0.3922   0.04754   0.03726  -0.1492   0.9476   0.2414
   0.750   0.4209   0.04537   0.03766  -0.1468   0.9392   0.8830
   1.000   0.4499   0.04647   0.03810  -0.1482   0.9292   1.0000
   1.250   0.4776   0.04775   0.03899  -0.1497   0.9192   1.0000
   1.500   0.5110   0.04914   0.04003  -0.1521   0.9089   1.0000
   1.750   0.5509   0.05058   0.04114  -0.1553   0.8988   1.0000
   2.000   0.5690   0.05186   0.04226  -0.1553   0.8883   1.0000
   2.250   0.5961   0.05326   0.04350  -0.1566   0.8777   1.0000
   2.500   0.6289   0.05464   0.04470  -0.1585   0.8663   1.0000
   2.750   0.6639   0.05599   0.04590  -0.1607   0.8553   1.0000
   3.000   0.6802   0.05744   0.04729  -0.1604   0.8439   1.0000
   3.250   0.7031   0.05896   0.04873  -0.1610   0.8330   1.0000
   3.500   0.7338   0.06042   0.05012  -0.1625   0.8224   1.0000
   3.750   0.7599   0.06191   0.05156  -0.1635   0.8120   1.0000
   4.000   0.7727   0.06370   0.05336  -0.1629   0.8013   1.0000
   4.250   0.7972   0.06531   0.05494  -0.1636   0.7905   1.0000
   4.500   0.8364   0.06656   0.05620  -0.1657   0.7801   1.0000
   4.750   0.8450   0.06846   0.05813  -0.1647   0.7682   1.0000
   5.000   0.8595   0.07033   0.06003  -0.1643   0.7565   1.0000
   5.250   0.8815   0.07198   0.06172  -0.1645   0.7448   1.0000
   5.500   0.9153   0.07327   0.06308  -0.1658   0.7340   1.0000
   5.750   0.9278   0.07530   0.06518  -0.1652   0.7227   1.0000
   6.000   0.9364   0.07762   0.06757  -0.1645   0.7116   1.0000
   6.250   0.9556   0.07945   0.06948  -0.1645   0.6999   1.0000
   6.500   0.9820   0.08091   0.07103  -0.1648   0.6878   1.0000
   6.750   1.0180   0.08174   0.07201  -0.1656   0.6755   1.0000
   7.000   1.0259   0.08403   0.07440  -0.1647   0.6625   1.0000
   7.250   1.0330   0.08653   0.07702  -0.1639   0.6499   1.0000
   7.500   1.0435   0.08896   0.07956  -0.1633   0.6376   1.0000
   7.750   1.0599   0.09106   0.08180  -0.1630   0.6256   1.0000
   8.000   1.0819   0.09269   0.08361  -0.1628   0.6129   1.0000
   8.250   1.1041   0.09413   0.08522  -0.1625   0.5993   1.0000
   8.500   1.1257   0.09553   0.08680  -0.1620   0.5853   1.0000
   8.750   1.1567   0.09612   0.08763  -0.1616   0.5720   1.0000
   9.000   1.1633   0.09883   0.09051  -0.1608   0.5580   1.0000
   9.250   1.1686   0.10179   0.09363  -0.1600   0.5441   1.0000
   9.500   1.1807   0.10405   0.09607  -0.1592   0.5298   1.0000
   9.750   1.2013   0.10524   0.09749  -0.1583   0.5145   1.0000
  10.000   1.2426   0.10355   0.09615  -0.1565   0.4978   1.0000
  10.250   1.5806   0.04968   0.04403  -0.1436   0.4345   1.0000
  10.500   1.5773   0.04909   0.04337  -0.1375   0.3892   1.0000
  10.750   1.5601   0.05092   0.04497  -0.1319   0.3387   1.0000
  11.000   1.5380   0.05426   0.04780  -0.1270   0.2824   1.0000
  11.250   1.5176   0.05849   0.05134  -0.1231   0.2341   1.0000
  11.500   1.5031   0.06293   0.05531  -0.1202   0.1964   1.0000
  11.750   1.4961   0.06698   0.05900  -0.1178   0.1666   1.0000
  12.000   1.4974   0.07053   0.06230  -0.1157   0.1410   1.0000
  12.250   1.5146   0.07317   0.06468  -0.1137   0.1178   1.0000
  12.500   1.5464   0.07558   0.06708  -0.1121   0.1004   1.0000
  12.750   1.5858   0.07889   0.07062  -0.1112   0.0899   1.0000
  13.000   1.6351   0.08352   0.07527  -0.1117   0.0824   1.0000
  13.250   1.6216   0.08791   0.08015  -0.1095   0.0814   1.0000
  13.500   1.6064   0.09267   0.08535  -0.1079   0.0805   1.0000
  13.750   1.5902   0.09781   0.09090  -0.1069   0.0800   1.0000
  14.000   1.5726   0.10330   0.09675  -0.1065   0.0799   1.0000
  14.250   1.5513   0.10918   0.10298  -0.1068   0.0798   1.0000
  14.500   1.5309   0.11541   0.10951  -0.1078   0.0803   1.0000
  14.750   1.5076   0.12213   0.11651  -0.1097   0.0807   1.0000
  15.000   1.4856   0.12922   0.12384  -0.1124   0.0812   1.0000
  15.250   1.4656   0.13673   0.13154  -0.1157   0.0819   1.0000
  15.500   1.4457   0.14472   0.13968  -0.1197   0.0824   1.0000
  15.750   1.3554   0.16914   0.16436  -0.1395   0.0940   1.0000
  16.000   1.3487   0.17787   0.17310  -0.1441   0.0951   1.0000
