  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.500   0.0536   0.08863   0.08686  -0.1182   0.9662   0.0122
 -10.250   0.0614   0.08403   0.08226  -0.1214   0.9658   0.0128
  -9.000  -0.1612   0.02102   0.01832  -0.1896   0.9340   0.0083
  -8.750  -0.1291   0.01817   0.01514  -0.1938   0.9320   0.0085
  -8.500  -0.0950   0.01595   0.01260  -0.1974   0.9306   0.0087
  -8.250  -0.0592   0.01444   0.01085  -0.2004   0.9294   0.0089
  -8.000  -0.0213   0.01335   0.00956  -0.2035   0.9285   0.0091
  -7.750  -0.0022   0.01255   0.00861  -0.2021   0.9211   0.0093
  -7.500   0.0337   0.01170   0.00758  -0.2044   0.9186   0.0097
  -7.250   0.0732   0.01100   0.00673  -0.2074   0.9168   0.0101
  -7.000   0.1132   0.01038   0.00603  -0.2105   0.9149   0.0110
  -6.750   0.1386   0.01014   0.00574  -0.2101   0.9079   0.0120
  -6.500   0.1750   0.00971   0.00522  -0.2122   0.9041   0.0136
  -6.250   0.2105   0.00976   0.00525  -0.2138   0.8998   0.0160
  -6.000   0.2387   0.00959   0.00505  -0.2140   0.8928   0.0181
  -5.750   0.2728   0.00954   0.00492  -0.2155   0.8877   0.0196
  -5.500   0.3004   0.00955   0.00488  -0.2154   0.8805   0.0204
  -5.250   0.3311   0.00897   0.00418  -0.2164   0.8741   0.0219
  -5.000   0.3590   0.00883   0.00401  -0.2165   0.8670   0.0230
  -4.750   0.3879   0.00867   0.00378  -0.2169   0.8602   0.0239
  -4.500   0.4158   0.00849   0.00352  -0.2170   0.8535   0.0247
  -4.250   0.4436   0.00839   0.00335  -0.2170   0.8463   0.0253
  -4.000   0.4717   0.00801   0.00291  -0.2173   0.8399   0.0271
  -3.750   0.4987   0.00794   0.00281  -0.2172   0.8329   0.0286
  -3.500   0.5269   0.00782   0.00261  -0.2173   0.8267   0.0298
  -3.250   0.5536   0.00766   0.00242  -0.2171   0.8200   0.0306
  -3.000   0.5816   0.00754   0.00220  -0.2172   0.8138   0.0315
  -2.750   0.6086   0.00734   0.00198  -0.2171   0.8075   0.0341
  -2.500   0.6357   0.00727   0.00187  -0.2170   0.8009   0.0372
  -2.250   0.6630   0.00716   0.00175  -0.2169   0.7948   0.0457
