  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.1002   0.10324   0.09944  -0.0936   0.9456   0.0252
  -8.750  -0.0903   0.09941   0.09561  -0.0978   0.9424   0.0253
  -8.500  -0.0848   0.09653   0.09276  -0.0985   0.9362   0.0253
  -8.250  -0.0746   0.09315   0.08937  -0.1005   0.9318   0.0253
  -8.000  -0.0611   0.08932   0.08553  -0.1035   0.9292   0.0253
  -7.750  -0.0502   0.08597   0.08217  -0.1015   0.9248   0.0197
  -7.500  -0.0434   0.08295   0.07917  -0.1027   0.9190   0.0191
  -7.250  -0.0316   0.07934   0.07556  -0.1058   0.9158   0.0182
  -7.000  -0.0350   0.07663   0.07287  -0.1054   0.9065   0.0177
  -6.750  -0.0253   0.07222   0.06846  -0.1093   0.9023   0.0173
  -6.500  -0.0257   0.06674   0.06299  -0.1133   0.8922   0.0166
  -6.250  -0.0062   0.06226   0.05849  -0.1193   0.8886   0.0168
  -6.000   0.0076   0.05841   0.05462  -0.1237   0.8817   0.0170
  -5.750   0.0312   0.05267   0.04882  -0.1321   0.8762   0.0172
  -5.500   0.1093   0.02626   0.02107  -0.1713   0.8735   0.0210
  -5.250   0.1366   0.02615   0.02095  -0.1719   0.8694   0.0226
  -5.000   0.1750   0.02194   0.01585  -0.1770   0.8656   0.0261
  -4.750   0.2074   0.02160   0.01544  -0.1784   0.8626   0.0285
  -4.500   0.2475   0.01963   0.01287  -0.1817   0.8607   0.0315
  -4.250   0.2853   0.01861   0.01171  -0.1843   0.8590   0.0332
  -4.000   0.3251   0.01769   0.01055  -0.1871   0.8576   0.0353
  -3.750   0.3475   0.01701   0.00969  -0.1862   0.8509   0.0363
  -3.500   0.3824   0.01619   0.00867  -0.1878   0.8477   0.0377
  -3.250   0.4201   0.01540   0.00773  -0.1900   0.8453   0.0392
  -3.000   0.4601   0.01482   0.00712  -0.1928   0.8433   0.0422
  -2.750   0.4858   0.01453   0.00678  -0.1925   0.8376   0.0452
  -2.500   0.5183   0.01412   0.00628  -0.1936   0.8333   0.0485
  -2.250   0.5554   0.01370   0.00583  -0.1957   0.8302   0.0546
  -2.000   0.5946   0.01332   0.00540  -0.1982   0.8277   0.0641
  -1.750   0.6173   0.01323   0.00531  -0.1972   0.8211   0.0754
  -1.500   0.6500   0.01300   0.00512  -0.1984   0.8167   0.0976
