  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 80-129                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.250  -0.2272   0.09591   0.09340  -0.0690   0.7818   0.0071
 -10.000  -0.2213   0.09163   0.08910  -0.0721   0.7800   0.0076
  -9.750  -0.2198   0.08668   0.08418  -0.0752   0.7785   0.0068
  -9.500  -0.2123   0.08328   0.08079  -0.0778   0.7766   0.0090
  -9.250  -0.2061   0.08037   0.07788  -0.0799   0.7748   0.0082
  -9.000  -0.1977   0.07620   0.07373  -0.0836   0.7726   0.0095
  -6.500  -0.2246   0.02806   0.02436  -0.0913   0.7493   0.0110
  -6.250  -0.2151   0.02533   0.02136  -0.0886   0.7470   0.0110
  -6.000  -0.1998   0.02391   0.01979  -0.0870   0.7446   0.0115
  -5.750  -0.1826   0.02267   0.01842  -0.0855   0.7425   0.0122
  -5.500  -0.1732   0.01818   0.01327  -0.0812   0.7404   0.0107
  -4.750  -0.1085   0.01413   0.00861  -0.0775   0.7338   0.0106
  -4.500  -0.0829   0.01379   0.00820  -0.0771   0.7313   0.0102
  -4.250  -0.0605   0.01219   0.00644  -0.0759   0.7292   0.0096
  -4.000  -0.0379   0.01117   0.00529  -0.0748   0.7270   0.0095
  -3.750  -0.0153   0.01049   0.00448  -0.0738   0.7248   0.0094
  -3.500   0.0082   0.01001   0.00393  -0.0729   0.7226   0.0099
  -3.250   0.0315   0.00955   0.00340  -0.0720   0.7200   0.0097
  -3.000   0.0540   0.00900   0.00273  -0.0708   0.7173   0.0120
  -2.750   0.0793   0.00878   0.00247  -0.0704   0.7149   0.0136
  -2.500   0.1053   0.00863   0.00225  -0.0700   0.7125   0.0142
  -2.250   0.1297   0.00835   0.00205  -0.0694   0.7101   0.0378
  -2.000   0.1540   0.00809   0.00192  -0.0688   0.7074   0.0764
  -1.750   0.1763   0.00768   0.00180  -0.0680   0.7047   0.1610
  -1.500   0.1980   0.00728   0.00169  -0.0670   0.7019   0.2612
  -1.250   0.2173   0.00678   0.00160  -0.0656   0.6993   0.4040
  -1.000   0.2285   0.00602   0.00154  -0.0624   0.6964   0.6222
  -0.750   0.2372   0.00545   0.00157  -0.0581   0.6933   0.8051
  -0.500   0.2618   0.00532   0.00159  -0.0574   0.6904   0.8629
  -0.250   0.2899   0.00530   0.00157  -0.0575   0.6875   0.8859
   0.000   0.3214   0.00531   0.00157  -0.0583   0.6845   0.9092
   0.250   0.3528   0.00530   0.00159  -0.0592   0.6817   0.9268
   0.500   0.3932   0.00533   0.00163  -0.0621   0.6784   0.9437
   0.750   0.4282   0.00538   0.00165  -0.0638   0.6752   0.9546
   1.000   0.4724   0.00546   0.00169  -0.0676   0.6723   0.9593
   1.250   0.5117   0.00554   0.00175  -0.0703   0.6693   0.9639
   1.500   0.5440   0.00561   0.00182  -0.0714   0.6655   0.9698
   1.750   0.5853   0.00570   0.00190  -0.0745   0.6618   0.9718
   2.000   0.6215   0.00579   0.00193  -0.0766   0.6578   0.9735
   2.250   0.6561   0.00583   0.00199  -0.0784   0.6535   0.9755
   2.500   0.6885   0.00588   0.00204  -0.0796   0.6495   0.9780
   2.750   0.7168   0.00594   0.00209  -0.0800   0.6455   0.9816
   3.000   0.7517   0.00599   0.00215  -0.0819   0.6413   0.9825
   3.250   0.7862   0.00603   0.00221  -0.0837   0.6373   0.9837
   3.500   0.8196   0.00608   0.00226  -0.0852   0.6322   0.9852
   3.750   0.8521   0.00614   0.00233  -0.0866   0.6277   0.9871
   4.000   0.8833   0.00620   0.00244  -0.0877   0.6227   0.9895
   4.250   0.9156   0.00628   0.00250  -0.0890   0.6168   0.9911
   4.500   0.9496   0.00632   0.00260  -0.0908   0.6110   0.9923
   4.750   0.9809   0.00644   0.00265  -0.0919   0.5882   0.9943
   5.000   1.0108   0.00666   0.00279  -0.0929   0.5585   0.9965
   5.250   1.0406   0.00699   0.00299  -0.0939   0.5215   0.9988
   5.500   1.0509   0.00795   0.00348  -0.0913   0.4294   1.0000
   5.750   1.0544   0.00864   0.00391  -0.0871   0.3749   1.0000
   6.000   1.0357   0.01006   0.00477  -0.0788   0.2716   1.0000
   6.250   1.0407   0.01064   0.00522  -0.0748   0.2390   1.0000
   6.500   1.0372   0.01154   0.00588  -0.0694   0.1906   1.0000
   6.750   1.0170   0.01287   0.00686  -0.0613   0.1216   1.0000
   7.000   1.0093   0.01445   0.00811  -0.0566   0.0591   1.0000
   7.250   1.0047   0.01623   0.00963  -0.0527   0.0079   1.0000
   7.500   1.0156   0.01723   0.01072  -0.0508   0.0054   1.0000
   7.750   1.0289   0.01810   0.01166  -0.0494   0.0052   1.0000
   8.000   1.0445   0.01884   0.01245  -0.0483   0.0050   1.0000
   8.250   1.0596   0.01961   0.01325  -0.0472   0.0045   1.0000
   8.500   1.0714   0.02063   0.01434  -0.0457   0.0044   1.0000
   8.750   1.0767   0.02213   0.01597  -0.0434   0.0047   1.0000
   9.000   1.0854   0.02341   0.01732  -0.0417   0.0046   1.0000
   9.250   1.0967   0.02453   0.01849  -0.0404   0.0042   1.0000
   9.500   1.1062   0.02577   0.01979  -0.0389   0.0040   1.0000
   9.750   1.1152   0.02708   0.02116  -0.0375   0.0039   1.0000
