  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 80-140                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.250  -0.2829   0.10560   0.09935  -0.0377   0.6463   0.0460
 -10.000  -0.2706   0.10256   0.09628  -0.0382   0.6431   0.0445
  -9.750  -0.2673   0.09858   0.09229  -0.0401   0.6408   0.0435
  -9.500  -0.2662   0.09448   0.08819  -0.0423   0.6387   0.0428
  -9.250  -0.2644   0.09075   0.08450  -0.0443   0.6359   0.0435
  -9.000  -0.2650   0.08662   0.08041  -0.0466   0.6335   0.0433
  -8.500  -0.3056   0.07077   0.06466  -0.0590   0.6306   0.0407
  -8.250  -0.3131   0.06680   0.06068  -0.0607   0.6283   0.0404
  -8.000  -0.3215   0.06213   0.05591  -0.0625   0.6262   0.0402
  -7.750  -0.3292   0.05720   0.05080  -0.0638   0.6244   0.0399
  -7.500  -0.3341   0.05233   0.04566  -0.0644   0.6226   0.0398
  -7.250  -0.3370   0.04732   0.04023  -0.0644   0.6209   0.0399
  -7.000  -0.3401   0.04172   0.03391  -0.0636   0.6188   0.0407
  -6.750  -0.3189   0.04105   0.03333  -0.0633   0.6155   0.0418
  -6.500  -0.3031   0.03902   0.03105  -0.0627   0.6125   0.0429
  -6.250  -0.2881   0.03636   0.02796  -0.0617   0.6099   0.0437
  -6.000  -0.2709   0.03387   0.02500  -0.0607   0.6075   0.0445
  -5.750  -0.2517   0.03156   0.02214  -0.0597   0.6054   0.0456
  -5.500  -0.2295   0.03018   0.02047  -0.0590   0.6034   0.0470
  -5.250  -0.2058   0.02934   0.01950  -0.0585   0.6014   0.0488
  -5.000  -0.1819   0.02813   0.01805  -0.0579   0.5987   0.0508
  -4.750  -0.1572   0.02685   0.01646  -0.0573   0.5959   0.0525
  -4.500  -0.1322   0.02605   0.01564  -0.0569   0.5930   0.0540
  -4.250  -0.1069   0.02537   0.01484  -0.0564   0.5904   0.0569
  -4.000  -0.0813   0.02463   0.01394  -0.0559   0.5882   0.0601
  -3.750  -0.0558   0.02402   0.01330  -0.0555   0.5860   0.0629
  -3.500  -0.0298   0.02345   0.01253  -0.0549   0.5840   0.0669
  -3.250  -0.0051   0.02298   0.01216  -0.0545   0.5816   0.0712
  -3.000   0.0200   0.02258   0.01173  -0.0539   0.5787   0.0765
  -2.750   0.0446   0.02223   0.01146  -0.0534   0.5761   0.0825
  -2.500   0.0693   0.02191   0.01115  -0.0529   0.5735   0.0899
  -2.250   0.0941   0.02160   0.01082  -0.0523   0.5710   0.0990
  -2.000   0.1190   0.02130   0.01051  -0.0516   0.5687   0.1111
  -1.750   0.1437   0.02097   0.01024  -0.0510   0.5667   0.1278
  -1.500   0.1685   0.02065   0.01003  -0.0504   0.5650   0.1604
  -1.250   0.1916   0.02029   0.01004  -0.0498   0.5627   0.2367
  -1.000   0.2127   0.01969   0.01016  -0.0491   0.5598   0.4023
  -0.750   0.2311   0.01889   0.01047  -0.0468   0.5568   0.6847
  -0.500   0.2705   0.01875   0.01070  -0.0477   0.5539   0.8605
  -0.250   0.3291   0.01887   0.01073  -0.0529   0.5513   0.9387
   0.000   0.4069   0.01896   0.01058  -0.0623   0.5488   0.9902
   0.250   0.4419   0.01910   0.01053  -0.0640   0.5468   1.0000
   0.500   0.4613   0.01939   0.01076  -0.0628   0.5439   1.0000
   0.750   0.4804   0.01976   0.01112  -0.0617   0.5401   1.0000
   1.000   0.5007   0.02007   0.01137  -0.0606   0.5368   1.0000
   1.250   0.5222   0.02032   0.01153  -0.0596   0.5340   1.0000
   1.500   0.5446   0.02053   0.01164  -0.0587   0.5316   1.0000
   1.750   0.5679   0.02072   0.01172  -0.0578   0.5295   1.0000
   2.000   0.5918   0.02090   0.01179  -0.0570   0.5277   1.0000
   2.250   0.6102   0.02155   0.01251  -0.0560   0.5232   1.0000
   2.500   0.6308   0.02205   0.01303  -0.0551   0.5194   1.0000
   2.750   0.6529   0.02244   0.01339  -0.0543   0.5165   1.0000
   3.000   0.6763   0.02271   0.01362  -0.0536   0.5139   1.0000
   3.250   0.7009   0.02290   0.01374  -0.0529   0.5117   1.0000
   3.500   0.7264   0.02305   0.01381  -0.0523   0.5098   1.0000
   3.750   0.7435   0.02392   0.01479  -0.0513   0.5048   1.0000
   4.000   0.7629   0.02460   0.01554  -0.0505   0.5005   1.0000
   4.250   0.7856   0.02497   0.01591  -0.0498   0.4972   1.0000
   4.500   0.8104   0.02516   0.01607  -0.0492   0.4946   1.0000
   4.750   0.8369   0.02522   0.01609  -0.0487   0.4925   1.0000
   5.000   0.8554   0.02596   0.01691  -0.0478   0.4881   1.0000
   5.250   0.8706   0.02696   0.01803  -0.0468   0.4822   1.0000
   5.500   0.8934   0.02730   0.01840  -0.0461   0.4789   1.0000
   5.750   0.9191   0.02740   0.01850  -0.0456   0.4765   1.0000
   6.000   0.9467   0.02737   0.01845  -0.0452   0.4746   1.0000
   6.250   0.9508   0.02921   0.02050  -0.0436   0.4666   1.0000
   6.500   0.9710   0.02972   0.02107  -0.0428   0.4626   1.0000
   6.750   0.9982   0.02957   0.02094  -0.0423   0.4599   1.0000
   7.000   1.0294   0.02909   0.02044  -0.0420   0.4578   1.0000
   7.250   1.0243   0.03136   0.02292  -0.0398   0.4477   1.0000
   7.500   1.0505   0.03119   0.02278  -0.0392   0.4445   1.0000
   7.750   1.0828   0.03055   0.02216  -0.0389   0.4422   1.0000
   8.000   1.0695   0.03324   0.02503  -0.0362   0.4316   1.0000
   8.250   1.0987   0.03268   0.02451  -0.0356   0.4283   1.0000
   8.500   1.1337   0.03177   0.02364  -0.0354   0.4260   1.0000
   9.000   1.1321   0.03483   0.02689  -0.0310   0.4116   1.0000
   9.500   1.0956   0.04217   0.03433  -0.0290   0.3913   1.0000
  10.000   1.1344   0.04255   0.03486  -0.0274   0.3809   1.0000
  10.500   1.1524   0.04516   0.03759  -0.0262   0.3654   1.0000
  11.000   1.1700   0.04793   0.04051  -0.0251   0.3499   1.0000
  11.500   1.1929   0.05008   0.04279  -0.0240   0.3342   1.0000
  11.750   1.1850   0.05341   0.04618  -0.0238   0.3226   1.0000
  12.000   1.2196   0.05164   0.04445  -0.0227   0.3156   1.0000
  12.250   1.2179   0.05421   0.04706  -0.0224   0.3038   1.0000
  12.500   1.2154   0.05693   0.04983  -0.0223   0.2918   1.0000
  12.750   1.2230   0.05839   0.05132  -0.0218   0.2800   1.0000
  13.000   1.2318   0.05966   0.05257  -0.0213   0.2671   1.0000
  13.250   1.2367   0.06139   0.05426  -0.0210   0.2531   1.0000
  13.500   1.2382   0.06367   0.05650  -0.0208   0.2387   1.0000
  13.750   1.2385   0.06623   0.05901  -0.0208   0.2250   1.0000
  14.000   1.2372   0.06910   0.06185  -0.0209   0.2115   1.0000
  14.250   1.2355   0.07213   0.06488  -0.0212   0.1994   1.0000
  14.500   1.2341   0.07519   0.06795  -0.0215   0.1880   1.0000
  14.750   1.2327   0.07831   0.07106  -0.0219   0.1769   1.0000
  15.000   1.2309   0.08150   0.07423  -0.0223   0.1661   1.0000
  15.250   1.2277   0.08505   0.07782  -0.0230   0.1558   1.0000
  15.500   1.2246   0.08864   0.08144  -0.0237   0.1458   1.0000
  15.750   1.2210   0.09235   0.08517  -0.0245   0.1361   1.0000
  16.000   1.2156   0.09640   0.08922  -0.0255   0.1257   1.0000
  16.250   1.2093   0.10066   0.09347  -0.0267   0.1152   1.0000
  16.500   1.2042   0.10483   0.09768  -0.0279   0.1060   1.0000
